Company Name,Asset Type,Percentage Allocation,Fund Type
Britannia Industries Ltd.,Equity,2.48%,Multi Asset Allocation
Signatureglobal (India) Ltd.,Equity,2.48%,Multi Asset Allocation
Nippon India Mutual Fund (Nippon India ETF Gold BeES),Others,2.40%,Multi Asset Allocation
India Shelter Finance Corporation Ltd.,Equity,2.24%,Multi Asset Allocation
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.76%,Multi Asset Allocation
Britannia Industries Ltd.,Equity,1.61%,Multi Asset Allocation
5.74 GOI Nov 15 2026,Debt,1.42%,Multi Asset Allocation
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.31%,Multi Asset Allocation
GOI,Debt,1.21%,Multi Asset Allocation
HDFC Life Insurance Company Ltd.,Equity,1.11%,Multi Asset Allocation
6.64 GOI Jun 16 2035,Debt,0.86%,Multi Asset Allocation
GOI,Debt,0.83%,Multi Asset Allocation
7.29 GOI Jan 27 2033,Debt,0.78%,Multi Asset Allocation
7.26 GOI Feb  6 2033,Debt,0.78%,Multi Asset Allocation
Kotak Mahindra Mutual Fund (Kotak Gold ETF),Others,0.65%,Multi Asset Allocation
Axis Mutual Fund (Axis Gold ETF),Others,0.27%,Multi Asset Allocation
QUANT Mutual Fund (Quant Gilt Fund - Direct - Growth),Debt,0.08%,Multi Asset Allocation
SBI Mutual Fund (SBI Gold ETF),Others,0.08%,Multi Asset Allocation
HDFC Mutual Fund (HDFC Gold Exchange Traded Fund),Others,0.07%,Multi Asset Allocation
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Gold ETF),Others,0.06%,Multi Asset Allocation
UTI Mutual Fund (UTI Gold Exchange Traded Fund),Others,0.06%,Multi Asset Allocation
Current Assets,Others,-5.95%,Multi Asset Allocation
SBI Mutual Fund (SBI Gold ETF),Others,12.16%,Multi Asset Allocation
Triparty Repo,Others,6.69%,Multi Asset Allocation
7.3 GOI Jun 19 2053,Debt,3.94%,Multi Asset Allocation
Embassy Office Parks Reit,Others,2.85%,Multi Asset Allocation
8.47 Tata Projects Ltd. Nov 20 2026,Debt,2.72%,Multi Asset Allocation
Tata Technologies Ltd.,Equity,2.68%,Multi Asset Allocation
8.78 Muthoot Finance Ltd. May 20 2027,Debt,2.40%,Multi Asset Allocation
8.29 Godrej Industries Ltd. Feb 26 2027,Debt,2.39%,Multi Asset Allocation
7.75 Rajasthan SDL Nov  8 2036,Debt,2.25%,Multi Asset Allocation
GAIL (India) Ltd.,Equity,2.25%,Multi Asset Allocation
HDFC Bank Ltd.,Equity,1.97%,Multi Asset Allocation
Cholamandalam Investment & Finance Company Ltd.,Equity,1.96%,Multi Asset Allocation
State Bank Of India,Equity,1.95%,Multi Asset Allocation
7.72 Haryana SDL  Nov  8 2035,Debt,1.92%,Multi Asset Allocation
Indian Energy Exchange Ltd.,Equity,1.88%,Multi Asset Allocation
Biocon Ltd.,Equity,1.67%,Multi Asset Allocation
7.73 Uttar Pradesh SDL Nov 15 2034,Debt,1.61%,Multi Asset Allocation
10.21 JM Financial Asset Reconstruction Company Pvt. Ltd. Nov 28 2025,Debt,1.60%,Multi Asset Allocation
7.18 GOI Aug 14 2033,Debt,1.60%,Multi Asset Allocation
Motilal Oswal Financial Services Ltd. (365D),Others,1.57%,Multi Asset Allocation
Motilal Oswal Finvest Ltd. (91D),Others,1.57%,Multi Asset Allocation
Indusind Bank Ltd.,Others,1.54%,Multi Asset Allocation
HDFC Bank Ltd.,Others,1.54%,Multi Asset Allocation
Brigade Enterprises Ltd.,Equity,1.43%,Multi Asset Allocation
Mahindra Lifespace Developers Ltd.,Equity,1.28%,Multi Asset Allocation
9.0732 Jm Financial Services Ltd. May 30 2025,Debt,1.28%,Multi Asset Allocation
CESC Ltd.,Equity,1.27%,Multi Asset Allocation
Britannia Industries Ltd.,Equity,1.19%,Multi Asset Allocation
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.18%,Multi Asset Allocation
Emami Ltd.,Equity,1.17%,Multi Asset Allocation
Equitas Small Finance Bank Ltd.,Equity,1.17%,Multi Asset Allocation
Jubilant Foodworks Ltd.,Equity,1.15%,Multi Asset Allocation
Sagar Cements Ltd.,Equity,1.07%,Multi Asset Allocation
Indian Bank,Equity,1.02%,Multi Asset Allocation
ICICI Bank Ltd.,Equity,1.02%,Multi Asset Allocation
Ltimindtree Ltd.,Equity,1.00%,Multi Asset Allocation
TVS Holdings Ltd.,Equity,0.98%,Multi Asset Allocation
Heidelberg Cement India Ltd.,Equity,0.97%,Multi Asset Allocation
8.35 JM Financial Credit Solutions Ltd. Apr 26 2024,Debt,0.95%,Multi Asset Allocation
HCL Technologies Ltd.,Equity,0.94%,Multi Asset Allocation
City Union Bank Ltd.,Equity,0.93%,Multi Asset Allocation
VRL Logistics Ltd.,Equity,0.91%,Multi Asset Allocation
Gland Pharma Ltd.,Equity,0.90%,Multi Asset Allocation
CUBE HIGHWAYS TRUST,Others,0.88%,Multi Asset Allocation
Hindustan Copper Ltd.,Equity,0.87%,Multi Asset Allocation
Kalpataru Projects International Ltd.,Equity,0.80%,Multi Asset Allocation
7.06 GOI Apr 10 2028,Debt,0.80%,Multi Asset Allocation
9.5221 Avanse Financial Services Ltd. May 29 2026,Debt,0.80%,Multi Asset Allocation
9.0964 Jm Financial Services Ltd. Mar 11 2026,Debt,0.77%,Multi Asset Allocation
8.5 Aadhar Housing Finance Ltd. May 26 2026,Debt,0.73%,Multi Asset Allocation
Fsn ECommerce Ventures Ltd.,Equity,0.72%,Multi Asset Allocation
Laurus Labs Ltd.,Equity,0.72%,Multi Asset Allocation
Tech Mahindra Ltd.,Equity,0.67%,Multi Asset Allocation
United Spirits Ltd.,Equity,0.64%,Multi Asset Allocation
Ashiana Housing Ltd.,Equity,0.59%,Multi Asset Allocation
HDFC Asset Management Company Ltd.,Equity,0.58%,Multi Asset Allocation
Harsha Engineers International Ltd.,Equity,0.55%,Multi Asset Allocation
V-Mart Retail Ltd.,Equity,0.54%,Multi Asset Allocation
Bharti Airtel Ltd.,Equity,0.53%,Multi Asset Allocation
ICICI Prudential Life Insurance Company Ltd.,Equity,0.50%,Multi Asset Allocation
8.8 Bharti Telecom Ltd. Nov 21 2025,Debt,0.48%,Multi Asset Allocation
8.24 Citicorp Finance India Ltd. Mar  1 2025,Debt,0.48%,Multi Asset Allocation
8.5 Muthoot Finance Ltd. Jan 29 2026,Debt,0.48%,Multi Asset Allocation
Bank Of Baroda,Equity,0.45%,Multi Asset Allocation
Sun Pharmaceuticals Ind Ltd.,Equity,0.40%,Multi Asset Allocation
Doms Industries Ltd.,Equity,0.40%,Multi Asset Allocation
Rallis India Ltd.,Equity,0.40%,Multi Asset Allocation
PVR INOX Ltd.,Equity,0.40%,Multi Asset Allocation
ACC Ltd.,Equity,0.39%,Multi Asset Allocation
Axis Bank Ltd.,Equity,0.35%,Multi Asset Allocation
Elin Electronics Ltd.,Equity,0.32%,Multi Asset Allocation
9.25 Motilal Oswal Finvest Ltd. Nov  1 2024,Debt,0.32%,Multi Asset Allocation
Infosys Ltd.,Equity,0.10%,Multi Asset Allocation
Godrej Consumer Products Ltd.,Equity,0.09%,Multi Asset Allocation
Marico Ltd.,Equity,0.06%,Multi Asset Allocation
Steel Authority Of India Ltd.,Equity,0.05%,Multi Asset Allocation
Nuvoco Vistas Corporation Ltd.,Equity,0.03%,Multi Asset Allocation
Sundaram Clayton Dcd Ltd,Equity,0.00%,Multi Asset Allocation
Net Receivables/(Payable),Others,-1.38%,Multi Asset Allocation
Nippon India Mutual Fund (Nippon India ETF Gold BeES),Others,10.31%,Multi Asset Allocation
Treasury Bill (364D),Others,9.07%,Multi Asset Allocation
HDFC Bank Ltd.,Equity,7.94%,Multi Asset Allocation
Reliance Industries Ltd.,Equity,6.44%,Multi Asset Allocation
Cash,Others,5.66%,Multi Asset Allocation
ICICI Bank Ltd.,Equity,3.09%,Multi Asset Allocation
Larsen & Toubro Ltd.,Equity,2.60%,Multi Asset Allocation
National Thermal Power Corporation Ltd.,Equity,2.47%,Multi Asset Allocation
Tata Consultancy Services Ltd.,Equity,2.46%,Multi Asset Allocation
Infosys Ltd.,Equity,2.45%,Multi Asset Allocation
Indian Oil Corporation Ltd.,Equity,2.12%,Multi Asset Allocation
Tata Motors - DVR - A - ORDY,Equity,2.11%,Multi Asset Allocation
Bajaj Auto Ltd.,Equity,2.08%,Multi Asset Allocation
Colgate-Palmolive Ltd.,Equity,2.01%,Multi Asset Allocation
Coal India Ltd.,Equity,1.99%,Multi Asset Allocation
REC Ltd.,Equity,1.98%,Multi Asset Allocation
Bharti Airtel Ltd.,Equity,1.78%,Multi Asset Allocation
Trent Ltd.,Equity,1.56%,Multi Asset Allocation
State Bank Of India,Equity,1.49%,Multi Asset Allocation
Titan Company Ltd.,Equity,1.48%,Multi Asset Allocation
Power Finance Corporation Ltd.,Equity,1.48%,Multi Asset Allocation
TVS Motor Company Ltd.,Equity,1.48%,Multi Asset Allocation
HCL Technologies Ltd.,Equity,1.46%,Multi Asset Allocation
Tata Consumer Products Ltd.,Equity,1.10%,Multi Asset Allocation
Steel Authority Of India Ltd.,Equity,1.05%,Multi Asset Allocation
Birlasoft Ltd.,Equity,1.03%,Multi Asset Allocation
Nestle India Ltd.,Equity,1.02%,Multi Asset Allocation
Jindal Stainless Ltd.,Equity,1.02%,Multi Asset Allocation
9.57 Export Import Bank Of India Jan 10 2024,Debt,1.01%,Multi Asset Allocation
Britannia Industries Ltd.,Equity,1.01%,Multi Asset Allocation
Alkem Laboratories Ltd.,Equity,1.01%,Multi Asset Allocation
Exide Industries Ltd.,Equity,1.01%,Multi Asset Allocation
Hindalco Industries Ltd.,Equity,0.99%,Multi Asset Allocation
9.25 Export Import Bank Of India May 29 2024,Debt,0.98%,Multi Asset Allocation
Hindustan Aeronautics Ltd.,Equity,0.98%,Multi Asset Allocation
Vijaya Diagnostic Centre Ltd.,Equity,0.97%,Multi Asset Allocation
Triparty Repo,Others,0.97%,Multi Asset Allocation
Cyient Ltd.,Equity,0.96%,Multi Asset Allocation
Sanofi India Ltd.,Equity,0.91%,Multi Asset Allocation
Sun Pharmaceuticals Ind Ltd.,Equity,0.87%,Multi Asset Allocation
Zydus Lifesciences Ltd.,Equity,0.85%,Multi Asset Allocation
9.39 Mahanagar Telephone Nigam Ltd. Mar 26 2024,Debt,0.76%,Multi Asset Allocation
Railtel Corporation Of India Ltd.,Equity,0.70%,Multi Asset Allocation
Ircon International Ltd.,Equity,0.67%,Multi Asset Allocation
MRF Ltd.,Equity,0.52%,Multi Asset Allocation
HEG Ltd.,Equity,0.51%,Multi Asset Allocation
Persistent Systems Ltd.,Equity,0.50%,Multi Asset Allocation
7.33 LIC Housing Finance Ltd. Feb 12 2025,Debt,0.49%,Multi Asset Allocation
Himadri Speciality Chemical Ltd.,Equity,0.48%,Multi Asset Allocation
8.22 National Bank For Agriculture & Rural Development (Nabard) Dec 13 2028,Debt,0.48%,Multi Asset Allocation
SJVN Ltd.,Equity,0.46%,Multi Asset Allocation
JSW Energy Ltd.,Equity,0.41%,Multi Asset Allocation
8.8 Indian Railway Finance Corporation Ltd. Feb  3 2030,Debt,0.20%,Multi Asset Allocation
8.37 Housing & Urban Development Corporation Ltd. (Hudco) Mar 23 2029,Debt,0.20%,Multi Asset Allocation
7.43 National Bank For Agriculture & Rural Development (Nabard) Jan 31 2030,Debt,0.19%,Multi Asset Allocation
8.58 Housing & Urban Development Corporation Ltd. (Hudco) Feb 14 2029,Debt,0.10%,Multi Asset Allocation
7.22 Indian Renewable Energy Development Agency (Ireda) Feb  6 2027,Debt,0.09%,Multi Asset Allocation
Derivative,Others,18.51%,Multi Asset Allocation
Repo,Others,8.72%,Multi Asset Allocation
HDFC Bank Ltd.,Equity,5.98%,Multi Asset Allocation
ICICI Bank Ltd.,Equity,4.33%,Multi Asset Allocation
Gold,Others,4.19%,Multi Asset Allocation
Larsen & Toubro Ltd.,Equity,3.59%,Multi Asset Allocation
Axis Bank Ltd.,Equity,3.29%,Multi Asset Allocation
Reliance Industries Ltd.,Equity,3.21%,Multi Asset Allocation
State Bank Of India,Equity,3.14%,Multi Asset Allocation
5.8 Kotak Mahindra Prime Ltd. Feb 20 2024,Debt,2.86%,Multi Asset Allocation
Bharti Airtel Ltd.,Equity,2.39%,Multi Asset Allocation
Tata Consultancy Services Ltd.,Equity,1.86%,Multi Asset Allocation
National Thermal Power Corporation Ltd.,Equity,1.77%,Multi Asset Allocation
Infosys Ltd.,Equity,1.66%,Multi Asset Allocation
Hindalco Industries Ltd.,Equity,1.59%,Multi Asset Allocation
DLF Ltd.,Equity,1.47%,Multi Asset Allocation
Power Grid Corporation Of India Ltd.,Equity,1.39%,Multi Asset Allocation
Silver Mini,Others,1.33%,Multi Asset Allocation
Ultratech Cement Ltd.,Equity,1.25%,Multi Asset Allocation
HCL Technologies Ltd.,Equity,1.23%,Multi Asset Allocation
Bank Of Baroda,Equity,1.19%,Multi Asset Allocation
Tata Mutual Fund (Tata Treasury Advantage Fund - Direct - Growth),Debt,1.15%,Multi Asset Allocation
Adani Ports and Special Economic Zone Ltd.,Equity,1.15%,Multi Asset Allocation
7.18 GOI Jul 24 2037,Debt,1.11%,Multi Asset Allocation
7.26 GOI Feb  6 2033,Debt,1.11%,Multi Asset Allocation
Mahindra & Mahindra Ltd.,Equity,1.11%,Multi Asset Allocation
4.13 HDFC Bank Ltd. Sep 30 2024,Debt,1.10%,Multi Asset Allocation
7.4 National Bank For Agriculture & Rural Development (Nabard) Jan 30 2026,Debt,1.10%,Multi Asset Allocation
7.85 Indinfravit Trust Apr  2 2040,Debt,1.08%,Multi Asset Allocation
5.63 GOI Apr 12 2026,Debt,1.07%,Multi Asset Allocation
Brigade Enterprises Ltd.,Equity,1.07%,Multi Asset Allocation
Maruti Suzuki India Ltd.,Equity,0.95%,Multi Asset Allocation
Apollo Hospitals Enterprise Ltd.,Equity,0.93%,Multi Asset Allocation
Tega Industries Ltd.,Equity,0.87%,Multi Asset Allocation
Sun Pharmaceuticals Ind Ltd.,Equity,0.86%,Multi Asset Allocation
Paradeep Phosphates Ltd.,Equity,0.86%,Multi Asset Allocation
Cummins India Ltd.,Equity,0.85%,Multi Asset Allocation
7.27 GOI Apr  8 2026,Debt,0.80%,Multi Asset Allocation
ITC Ltd.,Equity,0.78%,Multi Asset Allocation
Thermax Ltd.,Equity,0.75%,Multi Asset Allocation
KEC International Ltd.,Equity,0.75%,Multi Asset Allocation
Kaynes Technology India Pvt. Ltd.,Equity,0.69%,Multi Asset Allocation
Five-Star Business Finance Ltd.,Equity,0.67%,Multi Asset Allocation
7.32 GOI Jan 28 2024,Debt,0.66%,Multi Asset Allocation
Tata Motors Ltd.,Equity,0.64%,Multi Asset Allocation
Bharat Forge Ltd.,Equity,0.61%,Multi Asset Allocation
The Ramco Cements Ltd.,Equity,0.61%,Multi Asset Allocation
Bharat Heavy Electricals Ltd.,Equity,0.60%,Multi Asset Allocation
Tata Power Company Ltd.,Equity,0.60%,Multi Asset Allocation
Jupiter Wagons Ltd.,Equity,0.58%,Multi Asset Allocation
Ambuja Cements Ltd.,Equity,0.58%,Multi Asset Allocation
HDFC Asset Management Company Ltd.,Equity,0.57%,Multi Asset Allocation
Dr Reddys Laboratories Ltd.,Equity,0.57%,Multi Asset Allocation
PI Industries Ltd.,Equity,0.56%,Multi Asset Allocation
TVS Supply Chain Solutions Ltd.,Equity,0.56%,Multi Asset Allocation
The Federal Bank Ltd.,Equity,0.55%,Multi Asset Allocation
Orchid Pharma Ltd.,Equity,0.55%,Multi Asset Allocation
Tech Mahindra Ltd.,Equity,0.55%,Multi Asset Allocation
Zee Entertainment Enterprises Ltd.,Equity,0.55%,Multi Asset Allocation
ICICI Prudential Life Insurance Company Ltd.,Equity,0.53%,Multi Asset Allocation
RBL Bank Ltd.,Equity,0.51%,Multi Asset Allocation
ACC Ltd.,Equity,0.50%,Multi Asset Allocation
Crude Oil,Others,0.49%,Multi Asset Allocation
Indusind Bank Ltd.,Equity,0.48%,Multi Asset Allocation
PVR INOX Ltd.,Equity,0.44%,Multi Asset Allocation
ICICI Lombard General Insurance Company Ltd.,Equity,0.44%,Multi Asset Allocation
ABB India Ltd.,Equity,0.41%,Multi Asset Allocation
Cipla Ltd.,Equity,0.33%,Multi Asset Allocation
Copper,Others,0.32%,Multi Asset Allocation
Hindustan Unilever Ltd.,Equity,0.30%,Multi Asset Allocation
SBI Life Insurance Company Ltd.,Equity,0.28%,Multi Asset Allocation
Ganesha Ecosphere Ltd.,Equity,0.28%,Multi Asset Allocation
Doms Industries Ltd.,Equity,0.28%,Multi Asset Allocation
Gold Mini,Others,0.28%,Multi Asset Allocation
Azad Engineering Ltd.,Equity,0.26%,Multi Asset Allocation
Jio Financial Services Ltd.,Equity,0.26%,Multi Asset Allocation
Divi Laboratories Ltd.,Equity,0.25%,Multi Asset Allocation
Coal India Ltd.,Equity,0.25%,Multi Asset Allocation
Jindal Steel & Power Ltd.,Equity,0.25%,Multi Asset Allocation
7.8 HDFC Bank Ltd. May  3 2033,Debt,0.22%,Multi Asset Allocation
Aluminium,Others,0.19%,Multi Asset Allocation
3M India Ltd.,Equity,0.16%,Multi Asset Allocation
Titan Company Ltd.,Equity,0.12%,Multi Asset Allocation
Bharti Airtel Ltd.,Equity,0.10%,Multi Asset Allocation
5.77 GOI Aug  3 2030,Debt,0.03%,Multi Asset Allocation
Lead,Others,0.01%,Multi Asset Allocation
Eicher Motors Ltd.,Equity,0.00%,Multi Asset Allocation
Silver,Others,-,Multi Asset Allocation
Zinc,Others,0.00%,Multi Asset Allocation
Titan Company Ltd.,Equity,-0.12%,Multi Asset Allocation
Adani Ports and Special Economic Zone Ltd.,Equity,-0.20%,Multi Asset Allocation
Divi Laboratories Ltd.,Equity,-0.25%,Multi Asset Allocation
SBI Life Insurance Company Ltd.,Equity,-0.29%,Multi Asset Allocation
Hindustan Unilever Ltd.,Equity,-0.30%,Multi Asset Allocation
HCL Technologies Ltd.,Equity,-0.34%,Multi Asset Allocation
HDFC Bank Ltd.,Equity,-0.81%,Multi Asset Allocation
State Bank Of India,Equity,-0.86%,Multi Asset Allocation
Hindalco Industries Ltd.,Equity,-0.95%,Multi Asset Allocation
Maruti Suzuki India Ltd.,Equity,-0.96%,Multi Asset Allocation
Larsen & Toubro Ltd.,Equity,-1.15%,Multi Asset Allocation
Axis Bank Ltd.,Equity,-1.42%,Multi Asset Allocation
ICICI Bank Ltd.,Equity,-1.45%,Multi Asset Allocation
Current Assets,Others,-4.02%,Multi Asset Allocation
UTI Mutual Fund (UTI Gold Exchange Traded Fund),Others,18.16%,Multi Asset Allocation
Derivative,Others,9.24%,Multi Asset Allocation
7.41 GOI Dec 19 2036,Debt,4.74%,Multi Asset Allocation
7.18 GOI Jul 24 2037,Debt,4.64%,Multi Asset Allocation
Larsen & Toubro Ltd.,Equity,4.32%,Multi Asset Allocation
National Thermal Power Corporation Ltd.,Equity,3.77%,Multi Asset Allocation
ITC Ltd.,Equity,3.53%,Multi Asset Allocation
Axis Bank Ltd.,Equity,3.29%,Multi Asset Allocation
Tata Motors Ltd.,Equity,3.06%,Multi Asset Allocation
Coal India Ltd.,Equity,2.41%,Multi Asset Allocation
6.54 GOI Jan 17 2032,Debt,2.25%,Multi Asset Allocation
Bajaj Auto Ltd.,Equity,1.99%,Multi Asset Allocation
Oil & Natural Gas Corporation Ltd.,Equity,1.94%,Multi Asset Allocation
Mahindra & Mahindra Ltd.,Equity,1.85%,Multi Asset Allocation
Trent Ltd.,Equity,1.82%,Multi Asset Allocation
Maruti Suzuki India Ltd.,Equity,1.81%,Multi Asset Allocation
Hindustan Aeronautics Ltd.,Equity,1.79%,Multi Asset Allocation
Titan Company Ltd.,Equity,1.77%,Multi Asset Allocation
Lupin Ltd.,Equity,1.65%,Multi Asset Allocation
Current Assets,Others,1.49%,Multi Asset Allocation
Polycab India Ltd.,Equity,1.46%,Multi Asset Allocation
Aurobindo Pharma Ltd.,Equity,1.41%,Multi Asset Allocation
7.18 GOI Aug 14 2033,Debt,1.41%,Multi Asset Allocation
Zomato Ltd.,Equity,1.40%,Multi Asset Allocation
DLF Ltd.,Equity,1.37%,Multi Asset Allocation
Cholamandalam Investment & Finance Company Ltd.,Equity,1.32%,Multi Asset Allocation
TVS Motor Company Ltd.,Equity,1.25%,Multi Asset Allocation
GAIL (India) Ltd.,Equity,1.24%,Multi Asset Allocation
Varun Beverages Ltd.,Equity,1.21%,Multi Asset Allocation
Bharat Electronics Ltd.,Equity,1.17%,Multi Asset Allocation
Indian Oil Corporation Ltd.,Equity,1.16%,Multi Asset Allocation
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.12%,Multi Asset Allocation
Hero Motocorp Ltd.,Equity,1.02%,Multi Asset Allocation
Bharat Forge Ltd.,Equity,0.99%,Multi Asset Allocation
The Supreme Industries Ltd.,Equity,0.99%,Multi Asset Allocation
Suzlon Energy Ltd.,Equity,0.95%,Multi Asset Allocation
7.99 HDB Financial Services Ltd. Mar 16 2026,Debt,0.93%,Multi Asset Allocation
HDFC Asset Management Company Ltd.,Equity,0.91%,Multi Asset Allocation
CG Power & Industrial Solutions Ltd.,Equity,0.89%,Multi Asset Allocation
Bank Of Baroda,Equity,0.87%,Multi Asset Allocation
Exide Industries Ltd.,Equity,0.83%,Multi Asset Allocation
Canara Bank,Equity,0.82%,Multi Asset Allocation
Zydus Lifesciences Ltd.,Equity,0.82%,Multi Asset Allocation
Birlasoft Ltd.,Equity,0.80%,Multi Asset Allocation
Sundaram Finance Ltd.,Equity,0.75%,Multi Asset Allocation
Interglobe Aviation Ltd.,Equity,0.63%,Multi Asset Allocation
Torrent Pharmaceuticals Ltd.,Equity,0.59%,Multi Asset Allocation
ICICI Lombard General Insurance Company Ltd.,Equity,0.58%,Multi Asset Allocation
Jyothy Labs Ltd.,Equity,0.54%,Multi Asset Allocation
Petronet Lng Ltd.,Equity,0.51%,Multi Asset Allocation
Dalmia Bharat Ltd.,Equity,0.49%,Multi Asset Allocation
Blue Star Ltd.,Equity,0.44%,Multi Asset Allocation
Cholamandalam Financial Holdings Ltd.,Equity,0.39%,Multi Asset Allocation
NCC Ltd.,Equity,0.39%,Multi Asset Allocation
First Source Solutions Ltd.,Equity,0.38%,Multi Asset Allocation
The Federal Bank Ltd.,Equity,0.37%,Multi Asset Allocation
Abbott India Ltd.,Equity,0.29%,Multi Asset Allocation
ABB India Ltd.,Equity,0.19%,Multi Asset Allocation
CBLO(CCIL),Others,0.13%,Multi Asset Allocation
Aditya Birla Capital Ltd.,Equity,0.13%,Multi Asset Allocation
Treasury Bill (364D),Others,0.12%,Multi Asset Allocation
Siemens Ltd.,Equity,0.11%,Multi Asset Allocation
Britannia Industries Ltd.,Equity,0.10%,Multi Asset Allocation
Cummins India Ltd.,Equity,0.09%,Multi Asset Allocation
Bosch Ltd.,Equity,0.09%,Multi Asset Allocation
Apollo Tyres Ltd.,Equity,0.06%,Multi Asset Allocation
Mahanagar Gas Ltd.,Equity,0.04%,Multi Asset Allocation
Mahanagar Gas Ltd.,Equity,-0.04%,Multi Asset Allocation
Apollo Tyres Ltd.,Equity,-0.06%,Multi Asset Allocation
Torrent Pharmaceuticals Ltd.,Equity,-0.07%,Multi Asset Allocation
ICICI Lombard General Insurance Company Ltd.,Equity,-0.07%,Multi Asset Allocation
Interglobe Aviation Ltd.,Equity,-0.07%,Multi Asset Allocation
Canara Bank,Equity,-0.09%,Multi Asset Allocation
Bosch Ltd.,Equity,-0.09%,Multi Asset Allocation
Cummins India Ltd.,Equity,-0.09%,Multi Asset Allocation
Britannia Industries Ltd.,Equity,-0.10%,Multi Asset Allocation
Siemens Ltd.,Equity,-0.11%,Multi Asset Allocation
Aditya Birla Capital Ltd.,Equity,-0.13%,Multi Asset Allocation
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,-0.13%,Multi Asset Allocation
Bharat Electronics Ltd.,Equity,-0.14%,Multi Asset Allocation
Bank Of Baroda,Equity,-0.15%,Multi Asset Allocation
ABB India Ltd.,Equity,-0.19%,Multi Asset Allocation
Mahindra & Mahindra Ltd.,Equity,-0.20%,Multi Asset Allocation
Maruti Suzuki India Ltd.,Equity,-0.20%,Multi Asset Allocation
Birlasoft Ltd.,Equity,-0.21%,Multi Asset Allocation
Exide Industries Ltd.,Equity,-0.22%,Multi Asset Allocation
HDFC Asset Management Company Ltd.,Equity,-0.24%,Multi Asset Allocation
Coal India Ltd.,Equity,-0.24%,Multi Asset Allocation
Bharat Forge Ltd.,Equity,-0.27%,Multi Asset Allocation
Hero Motocorp Ltd.,Equity,-0.28%,Multi Asset Allocation
National Thermal Power Corporation Ltd.,Equity,-0.28%,Multi Asset Allocation
GAIL (India) Ltd.,Equity,-0.29%,Multi Asset Allocation
Abbott India Ltd.,Equity,-0.29%,Multi Asset Allocation
Zydus Lifesciences Ltd.,Equity,-0.32%,Multi Asset Allocation
Aurobindo Pharma Ltd.,Equity,-0.37%,Multi Asset Allocation
The Federal Bank Ltd.,Equity,-0.38%,Multi Asset Allocation
Lupin Ltd.,Equity,-0.45%,Multi Asset Allocation
Hindustan Aeronautics Ltd.,Equity,-0.48%,Multi Asset Allocation
Dalmia Bharat Ltd.,Equity,-0.50%,Multi Asset Allocation
Petronet Lng Ltd.,Equity,-0.51%,Multi Asset Allocation
Larsen & Toubro Ltd.,Equity,-0.60%,Multi Asset Allocation
ITC Ltd.,Equity,-0.65%,Multi Asset Allocation
Axis Bank Ltd.,Equity,-0.74%,Multi Asset Allocation
HDFC Bank Ltd.,Equity,5.18%,Multi Cap Fund
ICICI Bank Ltd.,Equity,4.71%,Multi Cap Fund
Reliance Industries Ltd.,Equity,4.27%,Multi Cap Fund
Infosys Ltd.,Equity,2.73%,Multi Cap Fund
Polycab India Ltd.,Equity,2.46%,Multi Cap Fund
Larsen & Toubro Ltd.,Equity,2.21%,Multi Cap Fund
Brigade Enterprises Ltd.,Equity,2.19%,Multi Cap Fund
Bharti Airtel Ltd.,Equity,2.10%,Multi Cap Fund
Fortis Healthcare Ltd.,Equity,2.07%,Multi Cap Fund
ACC Ltd.,Equity,2.03%,Multi Cap Fund
Dixon Technologies (India) Ltd.,Equity,2.02%,Multi Cap Fund
CBLO(CCIL),Others,1.99%,Multi Cap Fund
Axis Bank Ltd.,Equity,1.94%,Multi Cap Fund
Cyient Ltd.,Equity,1.90%,Multi Cap Fund
The Federal Bank Ltd.,Equity,1.89%,Multi Cap Fund
Ultratech Cement Ltd.,Equity,1.72%,Multi Cap Fund
Tata Motors Ltd.,Equity,1.70%,Multi Cap Fund
Bajaj Finance Ltd.,Equity,1.67%,Multi Cap Fund
Indusind Bank Ltd.,Equity,1.64%,Multi Cap Fund
Coforge Ltd.,Equity,1.64%,Multi Cap Fund
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.63%,Multi Cap Fund
Craftsman Automation Ltd.,Equity,1.56%,Multi Cap Fund
Union Bank Of India,Equity,1.55%,Multi Cap Fund
Hitachi Energy India Ltd.,Equity,1.54%,Multi Cap Fund
Mahindra & Mahindra Ltd.,Equity,1.54%,Multi Cap Fund
Sun Pharmaceuticals Ind Ltd.,Equity,1.51%,Multi Cap Fund
United Spirits Ltd.,Equity,1.49%,Multi Cap Fund
Container Corporation Of India Ltd.,Equity,1.45%,Multi Cap Fund
CIE Automotive India Ltd.,Equity,1.44%,Multi Cap Fund
Gateway Distriparks Ltd.,Equity,1.44%,Multi Cap Fund
Sanofi India Ltd.,Equity,1.43%,Multi Cap Fund
National Thermal Power Corporation Ltd.,Equity,1.42%,Multi Cap Fund
