Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %,Symbol
Reliance Power,19.0,,7096.89,0.0,-296.31,-361.69,1921.82,-6.84,3.59,Power Generation & Distribution,0.62,-2.76,1.84,-11.75,24.99,3.44,0.0,33.17,27681.76,373.52,30.83,2.6,0.22,0.0,4,2,0.15,4.27,24.99,3.86,129.68,1.92,,-243.87,1.96,,129.68,,129.68,,64.49,7.34,-0.01,3.17,0.0,NSE : RPOWER
JP Power Ven.,8.2,781.62,5619.84,0.0,191.65,-20.79,1707.82,-6.18,5.16,Power Generation & Distribution,0.54,0.33,0.46,0.55,24.0,6.7,79.2,33.17,10200.13,685.35,15.24,7.11,0.91,0.0,7,3,0.33,1.66,4.99,1.33,73.63,1.92,,67.44,3.95,1.6,98.03,34.98,73.63,59.38,49.15,4.7,-0.27,22.15,-0.04,NSE : JPPOWER
Rattanindia Pow.,7.0,,3759.07,0.0,-549.36,-41.11,847.27,0.53,8.61,Power Generation & Distribution,,-10.68,,,44.06,4.18,0.0,33.17,14543.31,537.01,-8.44,16.42,0.16,0.0,4,0,0.18,-3.86,44.06,10.71,281.5,1.92,,-802.35,3.5,,281.5,,281.5,,48.44,0.31,0.01,7.2,0.0,NSE : RTNPOWER
Inox Wind Energy,2715.85,,3271.94,0.0,-65.77,52.27,349.5,65.51,-10.67,Power Generation & Distribution,2.85,-11.31,2.74,-30.09,69.51,-5.04,0.0,33.17,5932.71,1.2,952.44,0.46,0.71,0.0,3,3,0.12,5.77,69.51,-9.24,411.38,1.92,,1034.18,-4.84,,1253.2,0.92,411.38,842.74,23.57,4.86,-0.41,2.07,-0.23,NSE - BE : IWEL
BF Utilities,672.9,21.62,2534.14,0.0,60.58,-19.25,263.18,35.5,31.72,Power Generation & Distribution,,11.51,,,56.74,11.88,0.0,33.17,3762.54,3.77,-24.33,0.0,0.58,0.0,9,4,0.35,-163.49,56.74,32.64,0.81,1.92,,11.8,20.03,,0.81,,0.81,,42.77,0.39,-0.04,0.09,0.0,NSE : BFUTILITIE
Waaree Renewab.,1156.3,42.64,2406.82,0.09,11.1,11.78,128.94,35.68,84.06,Power Generation & Distribution,28.27,24.57,0.46,96.19,74.51,3.51,0.0,33.17,2429.29,2.08,40.9,0.0,0.6,0.0,8,4,1.56,2.65,74.51,100.25,63.76,1.92,,-33.22,30.18,158.14,63.76,,63.76,,25.49,0.0,0.0,0.0,0.0,BSE: 534618
Guj Inds. Power,128.5,10.61,1943.56,2.92,57.37,-8.73,342.21,13.06,8.06,Power Generation & Distribution,0.62,4.24,0.16,6.09,55.69,14.28,0.0,33.17,1981.08,15.13,208.55,2.85,2.82,0.0,8,4,0.3,1.41,55.69,5.67,82.74,1.92,,111.61,6.3,238.41,82.74,,82.74,,26.26,4.42,1.52,5.99,-0.16,Not Found
Kintech Renew.,4033.1,1280.35,1613.24,0.0,1.28,481.82,150.86,,2.24,Power Generation & Distribution,33.14,1.55,0.0,1.66,18.75,0.11,0.0,33.17,1601.46,0.4,121.7,2.0,1213.0,0.0,7,3,0.12,1.06,18.75,1.65,0.0,1.92,,79.55,15.02,185.75,0.0,,0.0,0.0,81.26,0.0,0.0,0.0,0.0,Not Found
India Power Corp,14.8,104.66,1441.21,0.34,3.34,5.03,172.18,19.81,3.77,Power Generation & Distribution,1.42,0.63,0.28,1.14,59.49,3.28,67.24,33.17,1698.71,97.38,10.41,57.55,0.89,0.0,7,3,0.28,2.14,19.49,4.45,61.77,1.92,,3.62,2.76,5.75,61.77,,61.77,,,,,,,NSE : DPSCLTD
KPI Green Energy,873.4,26.07,3155.94,0.17,33.26,49.62,189.36,54.79,24.66,Power Infrastructure,12.24,10.83,2.62,53.45,54.81,5.64,49.03,44.86,3779.05,3.61,71.38,2.81,0.76,,6,6,0.63,3.94,27.94,14.8,83.19,6.64,,76.06,16.98,231.62,23.56,217.29,83.19,157.66,41.66,3.48,0.94,0.06,0.06,NSE : KPIGREEN
Oriana Power Ltd,367.6,63.64,705.15,0.0,,,,,27.11,Power Infrastructure,,10.92,2.21,46.8,61.41,2.56,0.0,44.86,774.23,1.92,,29.23,0.92,0.0,6,0,1.34,3.17,61.41,29.7,53.85,6.64,,42.11,15.55,,53.85,,53.85,,,,,,,NSE - SM : ORIANA
Kokuyo Camlin,150.5,43.81,1509.57,0.33,18.37,120.0,235.79,20.21,12.05,Printing & Stationery,5.75,5.59,0.21,9.26,74.99,3.54,0.0,34.92,1556.89,10.03,26.18,3.47,0.67,0.0,9,5,1.87,1.58,74.99,8.82,34.62,3.07,,70.9,12.45,44.98,98.86,55.03,34.62,119.26,24.46,0.54,0.36,0.0,0.0,NSE : KOKUYOCMLN
Linc,648.55,23.87,964.54,0.77,7.39,68.72,111.88,14.23,31.39,Printing & Stationery,5.44,17.1,0.01,23.46,59.28,5.82,0.0,34.92,953.11,1.49,119.16,4.18,1.11,0.0,9,6,2.22,1.24,59.28,21.71,28.97,3.07,,55.03,23.36,269.91,78.03,48.77,28.97,97.82,39.78,0.94,0.69,0.0,-0.03,NSE : LINCOLN
Kaiser Corporat.,20.96,57.15,110.29,0.0,0.14,104.68,6.61,13.57,11.42,Printing & Stationery,15.85,0.75,1.47,2.03,59.52,4.42,0.0,34.92,119.41,5.26,1.32,1.09,0.99,0.0,2,2,0.54,4.99,59.52,3.76,402.95,3.07,,298.0,13.73,3.3,-108.93,985.57,402.95,473.69,40.48,0.0,0.0,0.0,0.0,BSE: 531780
Alkosign,122.0,,66.43,0.0,0.18,,12.27,,3.69,Printing & Stationery,5.46,-1.45,1.68,-3.71,53.21,1.31,0.3,34.92,85.95,0.54,22.33,2.09,1.66,0.0,5,3,0.67,2.62,53.05,3.55,47.12,3.07,,214.6,3.31,,281.96,32.82,47.12,267.67,46.8,0.0,0.0,0.0,0.0,BSE: 543453
Gala Global,5.8,,31.66,0.0,0.18,-51.35,17.37,-26.96,2.66,Printing & Stationery,0.75,0.03,0.57,0.07,43.36,2.05,2.86,34.92,55.98,5.46,7.75,4.57,1.61,0.0,4,2,0.82,2.42,42.12,0.96,342.1,3.07,,225.32,0.99,,218.89,206.32,342.1,83.1,56.63,0.0,0.0,0.0,0.0,BSE: 539228
Unick Fix-A-Form,53.6,14.85,29.4,0.0,0.74,-26.0,15.11,-15.73,10.35,Printing & Stationery,0.99,3.16,0.77,7.87,35.64,10.44,0.0,34.92,48.48,0.55,53.97,4.02,0.7,0.0,7,3,0.93,2.39,35.64,7.9,72.37,3.07,,43.47,7.17,66.21,58.6,113.94,72.37,100.17,63.9,0.0,0.0,0.0,0.0,BSE: 541503
Vasa Retail,6.15,,3.69,0.0,-11.17,,0.0,,-77.92,Printing & Stationery,,-70.39,,,69.43,-48.3,0.0,34.92,25.94,0.6,-29.22,0.86,0.42,43.72,2,1,0.0,-2.81,69.43,-78.31,,3.07,,,-214.92,,,85.84,,424.36,31.84,0.0,0.0,0.0,0.0,NSE - SM : VASA
Jubilant Food.,506.05,123.96,33391.47,0.24,28.92,-74.31,1334.54,6.33,16.21,Printing & Stationery,16.39,7.1,1.25,18.11,41.94,1.69,0.63,98.95,35688.3,65.98,30.88,8.96,0.37,0.0,3,2,1.02,2.49,41.67,15.52,2.03,12.74,,-34.3,11.19,53.26,-110.41,164.22,2.03,51.77,10.14,25.22,-0.16,22.33,0.67,NSE : JUBLFOOD
Devyani Intl.,197.05,102.16,23761.45,0.0,-1.59,-62.78,846.63,20.14,18.39,Printing & Stationery,24.47,10.68,1.61,33.86,62.76,1.59,0.0,98.95,25241.12,120.59,8.05,10.21,0.34,0.0,6,3,1.14,2.71,62.76,17.88,3.52,12.74,,-25.57,13.39,17.47,-42.32,98.25,3.52,52.42,16.46,12.05,2.28,8.74,-0.92,NSE : DEVYANI
Westlife Food,965.75,128.9,15059.54,0.36,28.83,22.26,614.54,14.24,14.76,Quick Service Restaurant,26.61,5.73,2.13,21.73,56.22,1.57,0.0,98.95,16234.13,15.59,36.29,12.89,0.07,0.0,7,5,1.17,3.44,56.22,12.26,1.71,12.74,,-27.98,12.17,78.22,-60.14,99.85,1.71,38.01,9.64,9.7,0.09,24.14,-0.01,NSE : WESTLIFE
Sapphire Foods,1408.4,40.77,8963.26,0.0,24.87,-34.81,654.38,19.79,9.8,Quick Service Restaurant,7.13,9.87,0.77,20.74,44.86,2.02,0.0,98.95,9705.62,6.36,197.65,10.75,0.61,0.0,7,4,0.95,1.89,44.86,10.62,2.89,12.74,,-25.23,7.57,392.41,-54.99,106.94,2.89,49.05,6.87,18.66,3.16,29.61,2.16,NSE : SAPPHIRE
Restaurant Brand,123.75,,6120.7,0.0,-54.05,-6.27,610.78,24.85,-6.96,Quick Service Restaurant,7.41,-9.92,1.41,-23.69,40.8,-1.85,0.0,98.95,7133.03,49.46,16.69,34.2,0.36,0.0,3,4,0.84,2.95,40.8,-7.7,3.0,12.74,,-59.92,-5.3,,-114.1,132.73,3.0,15.63,22.13,27.37,-0.14,9.68,-0.24,NSE : RBA
Barbeque-Nation,701.95,,2736.12,0.0,-4.05,-144.4,323.89,2.86,8.99,Quick Service Restaurant,6.82,1.36,1.71,3.68,33.79,1.94,0.65,98.95,3378.07,3.9,102.91,10.67,0.34,0.0,6,4,1.03,2.99,33.57,7.11,2.18,12.74,,-22.05,5.2,,-69.42,108.58,2.18,36.98,23.72,17.97,0.18,24.51,-1.94,Not Found
Coffee Day Enter,52.7,,1113.3,0.0,22.51,204.93,247.29,17.48,-5.64,Quick Service Restaurant,0.35,-6.43,0.57,-11.22,9.82,-9.12,24.06,98.95,2883.87,21.13,152.32,14.9,1.7,0.0,4,6,0.15,1.89,7.46,-7.33,22.61,12.74,,1173.65,-4.5,,-36.21,89.17,22.61,30.34,87.72,2.31,-1.38,0.14,0.14,Not Found
I R C T C,688.35,54.42,55068.0,0.8,232.22,10.13,1001.79,17.5,59.19,Railways,22.22,21.98,0.03,45.36,62.4,2.59,0.0,54.42,53218.43,80.0,30.98,23.94,1.82,0.0,6,4,0.79,1.81,62.4,42.69,117.79,22.22,,5.39,27.11,93.0,-1458.95,1594.72,117.79,17.98,20.68,6.99,0.46,9.92,-0.14,NSE : IRCTC
Page Industries,39822.0,84.97,44401.53,0.63,158.36,-23.51,1240.03,-7.55,53.8,Readymade Garments- Apparells,32.4,23.8,0.3,46.44,46.12,1.65,0.0,34.97,44799.83,1.12,1229.2,1.7,0.31,0.0,3,4,2.0,1.75,46.12,39.15,11.13,2.54,,79.84,27.44,3599.66,231.29,48.43,11.13,268.58,9.88,21.99,-0.39,21.41,0.15,NSE : PAGEIND
K P R Mill Ltd,761.6,32.94,26032.55,0.53,202.84,-10.52,1610.73,1.63,24.44,Readymade Garments- Apparells,7.02,15.42,0.36,23.38,74.78,4.09,0.0,34.97,27267.98,34.18,108.44,2.5,0.72,0.0,5,4,1.18,1.41,74.78,18.28,36.9,2.54,,136.47,19.93,237.51,188.86,32.68,36.9,184.64,7.47,3.03,-0.04,14.71,0.15,NSE : KPRMILL
Gokaldas Exports,770.85,28.98,4675.32,0.13,32.55,-17.36,514.65,-15.72,21.42,Readymade Garments- Apparells,5.27,12.22,0.17,19.58,11.06,4.48,0.0,34.97,4805.74,6.07,146.3,3.33,0.7,83.34,7,2,1.74,1.44,11.06,33.35,22.31,2.54,,36.78,16.06,300.41,87.11,26.05,22.31,90.85,40.44,16.2,-1.02,32.31,0.96,NSE : GOKEX
Kewal Kir.Cloth.,673.25,31.54,4148.92,0.74,33.84,56.74,178.4,15.44,27.86,Readymade Garments- Apparells,7.3,15.29,0.09,23.26,74.26,4.45,0.0,34.97,4022.0,6.16,92.2,2.67,2.06,0.0,8,5,1.0,1.43,74.26,22.36,79.57,2.54,,132.74,21.68,210.42,194.79,47.14,79.57,162.36,16.58,2.62,0.18,6.53,0.58,Not Found
Dollar Industrie,434.9,55.47,2466.58,0.69,14.1,-49.41,318.92,-11.76,9.79,Readymade Garments- Apparells,3.44,5.29,0.23,8.33,73.09,2.72,0.0,34.97,2627.97,5.67,126.54,1.87,1.44,5.87,6,2,1.27,1.53,73.09,9.21,112.16,2.54,,174.33,6.61,149.41,215.97,65.93,112.16,169.73,25.93,0.49,0.05,0.5,-1.76,NSE : DOLLAR
Rupa & Co,265.6,46.42,2112.17,1.13,4.22,-66.1,195.44,-8.96,7.56,Readymade Garments- Apparells,2.32,3.58,0.28,5.92,73.28,3.66,0.0,34.97,2256.33,7.95,114.65,1.17,1.42,0.0,6,3,0.77,1.63,73.28,6.23,138.24,2.54,,253.35,5.94,121.49,352.59,78.39,138.24,292.74,22.1,0.48,-0.16,4.13,0.0,NSE : RUPA
Pearl Global Ind,835.95,12.78,1810.67,0.9,47.36,24.78,894.21,5.07,19.52,Readymade Garments- Apparells,2.51,8.02,0.77,21.1,66.58,11.76,0.0,34.97,2073.92,2.17,333.49,3.15,0.79,99.67,9,5,1.77,2.47,66.58,17.68,24.19,2.54,,48.17,13.7,736.31,51.66,87.74,24.19,115.2,27.32,5.03,-0.14,1.05,-0.19,NSE - BE : PGIL
Kitex Garments,198.4,43.09,1319.36,0.76,7.99,-78.28,145.78,-41.55,9.25,Readymade Garments- Apparells,1.46,5.81,0.03,6.75,56.66,3.65,0.0,34.97,1261.28,6.65,136.07,1.95,3.73,0.0,6,1,0.54,1.13,56.66,12.0,133.33,2.54,,200.0,4.56,118.73,237.23,57.44,133.33,161.34,42.67,0.68,-0.01,0.0,0.0,NSE : KITEX
Zodiac Cloth. Co,115.0,,298.93,0.0,-9.16,-34.9,32.98,-18.77,-5.01,Readymade Garments- Apparells,1.07,-6.23,0.23,-8.76,71.4,-5.61,0.0,34.97,352.16,2.6,107.4,1.24,1.28,0.0,6,2,0.47,1.32,71.4,-6.89,52.03,2.54,,238.32,-5.19,110.28,217.4,107.29,52.03,272.66,28.55,0.04,0.04,0.0,0.0,Not Found
Cityman,20.0,7.91,23.4,0.0,-0.1,-42.86,0.0,,42.99,Readymade Garments- Apparells,,39.42,,,71.81,8.64,0.0,34.97,36.59,1.17,-5.04,1.05,2.27,,6,2,1.48,-1.29,71.81,40.03,0.0,2.54,,236.92,41.04,,348.37,0.0,0.0,348.37,28.18,0.0,0.0,0.02,0.0,BSE: 521210
Embassy Off.REIT,306.74,51.81,29075.69,1.75,234.04,30.87,942.63,10.23,4.2,Real Estate Investment Trusts,1.21,1.08,0.64,1.97,35.77,3.92,0.0,85.75,43489.58,94.79,253.94,37.82,0.22,0.0,5,5,0.08,1.88,35.77,3.26,5.21,1.18,,-131.44,3.66,183.92,5.21,,5.21,,,,,,,Not Found
Mindspace Busine,316.7,60.26,18780.89,,136.9,7.87,593.4,22.43,5.95,Real Estate Investment Trusts,1.28,1.59,0.41,2.17,63.48,5.24,49.63,85.75,24202.19,59.3,246.62,30.14,0.44,0.0,6,5,0.1,1.52,31.97,2.36,9.09,1.18,,-92.54,5.44,165.52,9.09,,9.09,,,,,,,NSE - RR : MINDSPACE
Nexus Select,120.26,,18219.39,,13.76,,36.46,,7.49,Real Estate Investment Trusts,1.2,-0.13,0.15,-0.67,43.13,2.98,0.0,85.75,20114.48,151.5,100.07,0.72,3.22,0.0,7,3,0.15,5.21,43.13,-1.15,32.16,1.18,,-1.39,3.43,,32.16,,32.16,,,,,,,NSE : NXST
Brookfield India,247.32,145.19,8287.37,,-27.01,-157.3,314.09,7.92,4.1,Real Estate Investment Trusts,1.02,0.89,0.69,1.52,53.75,3.87,73.49,85.75,13661.75,33.51,242.9,,0.68,0.0,5,3,0.08,1.77,14.25,4.0,7.29,1.18,,-126.45,3.63,96.49,7.29,,7.29,,,,,,,NSE - RR : BIRET
DLF,503.25,59.58,124570.06,0.79,526.11,12.13,1423.23,-1.28,4.61,Realty,3.31,3.9,0.09,5.47,74.95,1.51,0.0,29.24,125629.33,247.53,152.25,0.0,0.53,0.0,7,3,0.11,1.38,74.95,6.58,35.2,1.37,,891.12,3.62,170.2,35.2,,35.2,,4.88,15.3,0.64,4.87,-0.36,NSE : DLF
Godrej Propert.,1643.65,70.47,45698.25,0.0,133.69,188.48,936.09,282.59,5.69,Realty,4.93,2.57,0.69,5.39,58.48,2.16,0.0,29.24,50113.07,27.8,333.22,-0.59,0.51,0.0,5,4,0.11,2.21,58.48,5.5,58.24,1.37,,1573.56,4.68,418.92,58.24,,58.24,,8.37,28.85,1.76,4.29,-0.4,NSE : GODREJPROP
Oberoi Realty,1127.9,22.49,41010.7,0.35,321.64,-20.2,909.97,-0.34,16.03,Realty,3.36,10.95,0.32,16.6,67.7,5.25,0.0,29.24,44441.87,36.36,335.81,-0.52,1.1,0.0,6,2,0.24,1.4,67.7,18.54,95.62,1.37,,821.43,12.52,615.51,95.62,,95.62,,2.81,18.17,0.4,11.33,-0.78,NSE : OBEROIRLTY
Phoenix Mills,1849.65,40.26,33041.26,0.27,291.04,14.46,810.63,41.13,12.13,Realty,3.94,5.97,0.51,11.45,47.3,4.28,0.0,29.24,36670.33,17.86,469.17,-0.32,0.49,0.0,7,4,0.16,1.89,47.3,10.49,33.24,1.37,,31.64,9.01,711.61,33.24,,33.24,,4.22,28.56,-1.82,19.93,1.88,NSE : PHOENIXLTD
Prestige Estates,668.45,29.08,26795.6,0.22,317.8,127.26,1680.9,-13.29,10.66,Realty,2.69,2.5,0.94,7.66,65.48,6.31,0.0,29.24,34400.9,40.09,248.85,-0.12,0.45,0.0,7,3,0.25,3.35,65.48,10.07,58.32,1.37,,251.79,5.93,374.44,58.32,,58.32,,2.57,20.68,-0.51,11.27,0.77,NSE : PRESTIGE
Brigade Enterpr.,595.0,82.37,13735.6,0.34,21.89,-62.94,653.97,-27.54,8.34,Realty,4.23,1.24,1.43,6.34,43.78,3.7,0.0,29.24,16891.88,23.09,140.64,0.02,0.27,0.0,7,3,0.22,4.85,43.78,8.8,48.91,1.37,,-22.67,3.82,182.3,48.91,,48.91,,17.09,13.67,-0.64,25.45,0.83,NSE : BRIGADE
G R Infraproject,1275.1,9.07,12328.82,0.0,309.84,-23.47,2478.23,-7.95,21.72,Realty,1.97,11.43,0.91,26.26,79.74,13.49,0.0,29.24,17246.28,9.67,647.97,0.24,2.2,0.0,8,5,0.75,2.03,79.74,30.85,17.77,1.37,,137.31,16.88,1431.7,17.77,,17.77,,3.52,0.59,0.1,16.14,-0.03,NSE : GRINFRA
NBCC,52.75,27.65,9495.0,1.02,63.13,-17.95,1478.07,8.22,26.2,Realty,4.96,4.2,0.0,19.04,61.75,6.36,0.0,29.24,7438.16,180.0,10.64,0.07,0.77,0.0,6,3,0.8,4.37,61.75,331.07,85.46,1.37,,-109.11,5.77,20.22,85.46,,85.46,,24.09,3.84,0.41,10.33,-0.28,NSE : NBCC
Anant Raj,220.8,40.37,7156.05,0.23,50.12,110.77,316.16,98.36,5.82,Realty,2.53,3.41,0.39,5.45,63.22,3.12,0.0,29.24,8190.7,32.41,87.17,0.0,2.57,0.0,6,5,0.22,1.55,63.22,5.34,19.56,1.37,,672.75,5.87,104.14,19.56,,19.56,,25.57,10.64,-0.09,0.56,0.47,NSE : ANANTRAJ
Keystone Realtor,606.2,56.77,6903.25,0.0,46.51,1002.13,271.96,61.34,5.53,Realty,4.14,1.89,0.62,6.11,86.7,2.74,0.0,29.24,7521.35,11.39,146.6,-0.08,0.44,0.0,6,5,0.16,2.51,86.7,4.99,32.81,1.37,,890.49,4.57,189.35,32.81,,32.81,,3.95,1.49,-0.17,7.86,1.22,NSE : RUSTOMJEE
Reliance Industr,2412.65,25.24,1632304.38,0.37,18258.0,-10.65,207559.0,-5.16,10.04,Refineries,2.28,4.78,0.63,8.94,50.39,5.62,0.0,9.96,2015304.38,676.56,1058.11,4.95,0.42,0.0,7,4,0.56,2.17,50.39,11.58,11.85,1.5,,-9.41,7.05,1509.56,7.4,91.28,11.85,86.84,10.76,22.55,0.06,16.13,0.07,NSE : RELIANCE
I O C L,89.05,5.11,125749.63,3.37,14735.3,1535.06,198550.77,-11.13,8.16,Refineries,0.9,2.74,1.07,7.17,51.5,14.86,0.0,9.96,272630.07,1412.12,98.94,6.48,0.13,0.0,4,6,1.97,3.05,51.5,9.03,7.06,1.5,,8.3,9.17,196.56,39.59,26.72,7.06,59.26,9.77,7.56,0.65,11.55,-0.37,NSE : IOC
B P C L,344.2,3.67,74665.68,1.16,10644.3,279.24,112984.79,-6.69,6.86,Refineries,1.4,1.78,1.3,6.34,52.98,21.3,0.0,9.96,141467.33,216.93,246.73,10.9,0.18,0.0,5,4,2.52,3.51,52.98,7.44,5.19,1.5,,-4.58,16.02,695.9,17.02,20.24,5.19,32.07,10.12,12.55,-0.02,23.1,0.51,NSE : BPCL
H P C L,250.25,4.26,35499.17,5.59,6765.5,179.06,112079.16,-2.12,-8.08,Refineries,1.1,-4.41,2.19,-18.91,54.9,12.66,0.0,9.96,105497.79,141.85,227.44,13.13,0.12,1.14,3,5,2.79,4.9,54.9,-10.36,5.66,1.5,,-13.64,8.27,548.59,11.4,19.6,5.66,25.33,8.77,13.99,-0.37,22.33,0.93,NSE : HINDPETRO
M R P L,96.35,17.94,16886.3,0.0,1012.74,-62.6,21173.12,-34.43,20.09,Refineries,1.72,7.04,1.72,31.1,88.58,8.56,0.0,9.96,33786.42,175.26,56.11,11.46,0.43,0.0,7,4,2.9,3.82,88.58,14.05,14.99,1.5,,13.93,8.23,82.45,17.28,22.82,14.99,25.12,9.62,1.08,0.01,0.7,0.42,NSE : MRPL
C P C L,412.55,3.56,6143.34,6.54,548.32,-76.75,14744.8,-36.34,45.54,Refineries,0.98,21.28,0.55,70.18,67.29,26.96,0.0,9.96,9894.3,14.89,421.79,10.1,0.26,0.0,9,7,4.59,2.45,67.29,34.82,1.43,1.5,,15.32,16.8,1048.0,17.46,16.01,1.43,32.04,22.25,8.49,0.82,1.97,-1.43,NSE : CHENNPETRO
RHI Magnesita,711.8,92.35,14500.17,0.35,46.81,-43.16,927.96,54.14,10.9,Refractories,4.63,3.06,0.55,5.9,55.47,1.79,0.0,24.49,15763.38,20.37,153.78,2.18,0.63,0.0,3,4,0.72,1.31,55.47,6.68,105.43,3.29,,129.01,4.8,,123.47,186.42,105.43,204.47,26.67,3.79,1.51,14.08,6.17,NSE : RHIM
Vesuvius India,3364.4,42.87,6829.73,0.25,52.24,77.51,405.05,22.87,16.66,Refractories,6.34,9.27,0.0,12.33,55.57,3.43,0.0,24.49,6243.23,2.03,530.25,3.99,2.73,0.0,7,3,1.07,1.26,55.57,12.85,56.92,3.29,,41.25,15.01,967.74,37.83,111.56,56.92,92.47,20.46,0.77,-0.07,23.2,-0.1,NSE : VESUVIUS
IFGL Refractori.,474.65,18.15,1710.61,1.47,29.61,103.51,423.85,17.96,10.11,Refractories,1.7,5.88,0.16,8.22,72.43,7.33,0.0,24.49,1812.75,3.6,278.88,2.74,1.36,0.0,3,5,1.02,1.35,72.43,8.21,92.1,3.29,,120.11,9.32,405.13,150.6,94.03,92.1,152.53,17.07,0.04,0.04,10.46,0.01,NSE : IFGLEXPOR
Morganite Crucib,1428.6,40.82,800.02,1.4,7.8,80.14,42.69,6.01,17.84,Refractories,6.3,10.17,0.0,12.88,75.0,3.58,0.0,24.49,754.35,0.56,226.7,3.09,2.25,0.0,5,3,0.98,1.24,75.0,13.44,63.91,3.29,,48.45,16.78,422.52,41.78,145.78,63.91,123.64,24.79,0.19,0.0,0.02,0.0,BSE: 523160
Nilachal Refract,39.53,,80.48,0.0,-0.12,61.29,0.41,95.24,-6.37,Refractories,141.21,-3.55,24.52,-11.43,70.61,-1.65,0.0,24.49,94.62,2.04,0.28,0.1,0.18,0.0,2,3,0.02,86.85,70.61,-27.71,1112.22,3.29,,699.01,-3.12,,2331.18,2196.89,1112.22,3415.85,29.32,0.0,0.0,0.07,0.0,BSE: 502294
Associated Cera.,155.3,16.91,46.67,0.0,-0.35,-138.21,7.99,-16.6,19.67,Refractories,1.65,11.28,0.21,15.73,55.33,8.31,0.0,24.49,52.25,0.3,94.34,3.05,0.48,0.0,4,4,1.43,1.29,55.33,13.48,25.38,3.29,,61.88,9.74,143.62,102.33,68.85,25.38,145.79,44.67,0.0,0.0,0.0,0.0,BSE: 531168
SP Refractories,101.1,29.18,18.09,0.0,0.47,,12.63,,9.01,Refractories,2.02,3.95,0.61,7.18,69.42,5.32,0.0,24.49,23.5,0.18,49.96,8.62,1.32,0.0,4,3,1.73,1.76,69.42,7.79,81.63,3.29,,106.56,7.76,62.41,111.48,24.49,81.63,54.34,30.58,0.0,0.0,0.0,0.0,NSE : SPANDANA
Lerthai Finance,258.35,23.18,18.08,0.0,-0.02,80.0,0.0,,9.52,Refractories,1.93,7.51,0.0,7.64,75.0,10.85,0.0,24.49,8.66,0.07,134.0,,73.15,,5,3,0.0,0.98,75.0,7.36,,3.29,,,9.88,183.29,,,,,8.9,16.1,0.0,0.0,0.0,BSE: 502250
Raasi Refractor,9.53,3.94,4.49,0.0,-2.25,10.36,2.34,-74.2,14.69,Refractories,,1.89,,,50.74,12.51,99.82,24.49,29.82,0.47,-28.88,10.31,0.86,0.0,6,0,1.3,-3.34,0.09,16.78,212.56,3.29,,50.17,8.05,,113.57,101.71,212.56,2.72,47.15,0.0,0.0,0.04,0.0,BSE: 502271
Avenue Super.,3761.05,102.17,244608.8,0.0,658.71,2.46,11865.44,18.2,20.1,Refractories,15.16,14.14,0.04,15.95,74.65,1.29,0.0,80.72,243843.45,65.04,248.03,12.26,1.37,0.0,8,4,2.55,1.04,74.65,15.87,0.53,3.74,,21.62,17.38,453.89,25.51,7.56,0.53,32.54,9.49,8.17,0.0,7.66,0.17,NSE : DMART
Trent,2063.1,163.91,73340.62,0.11,166.67,45.02,2628.37,45.77,11.59,Retail,28.26,3.75,1.72,11.94,37.01,1.27,0.0,80.72,77718.46,35.55,73.01,4.36,0.43,0.0,8,5,1.04,3.05,37.01,10.67,1.52,3.74,,38.43,12.21,150.11,55.34,51.44,1.52,105.26,22.17,25.01,0.58,15.81,-0.29,NSE : TRENT
Vedant Fashions,1258.4,72.71,30552.05,0.72,91.95,-8.84,311.62,-4.1,39.17,Retail,21.82,21.48,0.21,34.03,75.0,1.94,0.0,80.72,30835.42,24.28,57.66,2.11,1.38,2.05,8,3,0.69,1.41,75.0,47.36,127.54,3.74,,110.71,27.56,149.85,223.78,94.17,127.54,190.41,3.16,6.27,2.86,15.57,5.69,NSE : MANYAVAR
Aditya Bir. Fas.,218.35,,20717.75,0.0,-161.62,-249.76,3196.06,11.18,4.64,Retail,6.2,-0.41,1.97,-1.18,55.47,0.55,0.0,72.97,26589.55,94.88,35.24,1.55,0.42,0.0,5,3,0.85,4.37,55.47,2.75,26.06,2.45,,32.35,0.86,,50.27,252.85,26.06,277.06,12.94,14.2,-0.19,16.86,-1.59,Not Found
