Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund Type
Financial Services,,22.33%,Edelweiss Mid Cap Fund,Mid Cap Fund
Capital Goods,,16.30%,Edelweiss Mid Cap Fund,Mid Cap Fund
Healthcare,,9.77%,Edelweiss Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,8.63%,Edelweiss Mid Cap Fund,Mid Cap Fund
Information Technology,,8.46%,Edelweiss Mid Cap Fund,Mid Cap Fund
Financial Services,,21.93%,Franklin India Prima Fund,Mid Cap Fund
Capital Goods,,13.26%,Franklin India Prima Fund,Mid Cap Fund
Healthcare,,8.25%,Franklin India Prima Fund,Mid Cap Fund
Automobile and Auto Components,,7.01%,Franklin India Prima Fund,Mid Cap Fund
Information Technology,,6.13%,Franklin India Prima Fund,Mid Cap Fund
Financial Services,,23.58%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Capital Goods,,13.20%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Healthcare,,10.34%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Automobile and Auto Components,,8.54%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Information Technology,,7.78%,HDFC Mid-Cap Opportunities Fund,Mid Cap Fund
Financial Services,,20.21%,HSBC Midcap Fund,Mid Cap Fund
Capital Goods,,15.84%,HSBC Midcap Fund,Mid Cap Fund
Healthcare,,14.20%,HSBC Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,8.43%,HSBC Midcap Fund,Mid Cap Fund
Information Technology,,5.01%,HSBC Midcap Fund,Mid Cap Fund
Capital Goods,,15.90%,ICICI Prudential MidCap Fund,Mid Cap Fund
Healthcare,,10.71%,ICICI Prudential MidCap Fund,Mid Cap Fund
Automobile and Auto Components,,10.47%,ICICI Prudential MidCap Fund,Mid Cap Fund
Realty,,9.87%,ICICI Prudential MidCap Fund,Mid Cap Fund
Metals & Mining,,7.28%,ICICI Prudential MidCap Fund,Mid Cap Fund
Financial Services,,21.55%,Invesco India Midcap Fund,Mid Cap Fund
Capital Goods,,17.72%,Invesco India Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,10.08%,Invesco India Midcap Fund,Mid Cap Fund
Healthcare,,10.06%,Invesco India Midcap Fund,Mid Cap Fund
Consumer Services,,8.30%,Invesco India Midcap Fund,Mid Cap Fund
Capital Goods,,20.21%,ITI Mid Cap Fund,Mid Cap Fund
Financial Services,,18.17%,ITI Mid Cap Fund,Mid Cap Fund
Healthcare,,8.28%,ITI Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,7.72%,ITI Mid Cap Fund,Mid Cap Fund
Information Technology,,6.96%,ITI Mid Cap Fund,Mid Cap Fund
Capital Goods,,18.03%,JM Midcap Fund,Mid Cap Fund
Financial Services,,16.48%,JM Midcap Fund,Mid Cap Fund
Healthcare,,8.53%,JM Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,7.61%,JM Midcap Fund,Mid Cap Fund
Consumer Services,,7.38%,JM Midcap Fund,Mid Cap Fund
Capital Goods,,20.59%,Kotak Emerging Equity Fund,Mid Cap Fund
Financial Services,,12.90%,Kotak Emerging Equity Fund,Mid Cap Fund
Consumer Durables,,12.63%,Kotak Emerging Equity Fund,Mid Cap Fund
Chemicals,,11.49%,Kotak Emerging Equity Fund,Mid Cap Fund
Automobile and Auto Components,,9.78%,Kotak Emerging Equity Fund,Mid Cap Fund
Financial Services,,19.64%,LIC MF Mid cap Fund,Mid Cap Fund
Capital Goods,,15.09%,LIC MF Mid cap Fund,Mid Cap Fund
Automobile and Auto Components,,13.37%,LIC MF Mid cap Fund,Mid Cap Fund
Consumer Services,,12.37%,LIC MF Mid cap Fund,Mid Cap Fund
Chemicals,,7.35%,LIC MF Mid cap Fund,Mid Cap Fund
Financial Services,,21.08%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Capital Goods,,12.91%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,8.12%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Healthcare,,7.74%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Information Technology,,6.12%,Mahindra Manulife Mid Cap Fund,Mid Cap Fund
Financial Services,,23.12%,Mirae Asset Midcap Fund,Mid Cap Fund
Healthcare,,12.96%,Mirae Asset Midcap Fund,Mid Cap Fund
Consumer Durables,,9.05%,Mirae Asset Midcap Fund,Mid Cap Fund
Capital Goods,,8.52%,Mirae Asset Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,6.59%,Mirae Asset Midcap Fund,Mid Cap Fund
Information Technology,,22.48%,Motilal Oswal Midcap Fund,Mid Cap Fund
Financial Services,,15.17%,Motilal Oswal Midcap Fund,Mid Cap Fund
Capital Goods,,13.67%,Motilal Oswal Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,12.43%,Motilal Oswal Midcap Fund,Mid Cap Fund
Chemicals,,9.19%,Motilal Oswal Midcap Fund,Mid Cap Fund
Financial Services,,23.95%,Nippon India Growth Fund,Mid Cap Fund
Capital Goods,,13.04%,Nippon India Growth Fund,Mid Cap Fund
Healthcare,,11.09%,Nippon India Growth Fund,Mid Cap Fund
Consumer Services,,8.27%,Nippon India Growth Fund,Mid Cap Fund
Automobile and Auto Components,,7.27%,Nippon India Growth Fund,Mid Cap Fund
Financial Services,,18.72%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Automobile and Auto Components,,13.99%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Capital Goods,,10.77%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Healthcare,,10.45%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Chemicals,,8.12%,PGIM India Midcap Opportunities Fund,Mid Cap Fund
Financial Services,,19.75%,Quant Mid Cap Fund,Mid Cap Fund
Healthcare,,17.69%,Quant Mid Cap Fund,Mid Cap Fund
"Oil, Gas & Consumable Fuels",,12.58%,Quant Mid Cap Fund,Mid Cap Fund
Power,,8.88%,Quant Mid Cap Fund,Mid Cap Fund
Metals & Mining,,8.48%,Quant Mid Cap Fund,Mid Cap Fund
Financial Services,,16.44%,SBI Magnum Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,15.54%,SBI Magnum Midcap Fund,Mid Cap Fund
Capital Goods,,11.76%,SBI Magnum Midcap Fund,Mid Cap Fund
Healthcare,,7.82%,SBI Magnum Midcap Fund,Mid Cap Fund
Textiles,,6.62%,SBI Magnum Midcap Fund,Mid Cap Fund
Financial Services,,24.74%,Sundaram Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,11.50%,Sundaram Mid Cap Fund,Mid Cap Fund
Capital Goods,,11.10%,Sundaram Mid Cap Fund,Mid Cap Fund
Healthcare,,10.53%,Sundaram Mid Cap Fund,Mid Cap Fund
Consumer Services,,6.56%,Sundaram Mid Cap Fund,Mid Cap Fund
Capital Goods,,22.77%,Tata Mid Cap Growth Fund,Mid Cap Fund
Financial Services,,21.50%,Tata Mid Cap Growth Fund,Mid Cap Fund
Healthcare,,10.63%,Tata Mid Cap Growth Fund,Mid Cap Fund
Realty,,5.70%,Tata Mid Cap Growth Fund,Mid Cap Fund
Chemicals,,4.86%,Tata Mid Cap Growth Fund,Mid Cap Fund
Financial Services,,26.14%,Taurus Mid Cap Fund,Mid Cap Fund
Consumer Durables,,14.02%,Taurus Mid Cap Fund,Mid Cap Fund
Capital Goods,,10.56%,Taurus Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,7.77%,Taurus Mid Cap Fund,Mid Cap Fund
Information Technology,,5.91%,Taurus Mid Cap Fund,Mid Cap Fund
Financial Services,,21.43%,Union Midcap Fund,Mid Cap Fund
Automobile and Auto Components,,12.35%,Union Midcap Fund,Mid Cap Fund
Capital Goods,,11.75%,Union Midcap Fund,Mid Cap Fund
Healthcare,,10.50%,Union Midcap Fund,Mid Cap Fund
Information Technology,,7.58%,Union Midcap Fund,Mid Cap Fund
Financial Services,,19.46%,UTI Mid Cap Fund,Mid Cap Fund
Capital Goods,,16.69%,UTI Mid Cap Fund,Mid Cap Fund
Automobile and Auto Components,,11.51%,UTI Mid Cap Fund,Mid Cap Fund
Healthcare,,10.98%,UTI Mid Cap Fund,Mid Cap Fund
Information Technology,,8.83%,UTI Mid Cap Fund,Mid Cap Fund
Financial Services,,23.99%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Healthcare,,13.67%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Capital Goods,,13.14%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Information Technology,,10.61%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Consumer Services,,8.58%,WhiteOak Capital Mid Cap Fund,Mid Cap Fund
Financial Services,,80.68%,Aditya Birla Sun Life Money Manager Fund,Money Market Fund
Sovereign,,6.52%,Aditya Birla Sun Life Money Manager Fund,Money Market Fund
Current Assets,,5.68%,Aditya Birla Sun Life Money Manager Fund,Money Market Fund
Realty,,2.74%,Aditya Birla Sun Life Money Manager Fund,Money Market Fund
Construction,,2.05%,Aditya Birla Sun Life Money Manager Fund,Money Market Fund
Financial Services,,29.90%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,12.84%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,5.84%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Healthcare,,5.65%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,4.96%,Aditya Birla Sun Life Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,33.64%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,12.49%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,9.24%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,6.95%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Consumer Services,,6.69%,Axis Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,21.69%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Mutual Funds,,15.03%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Information Technology,,7.95%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Automobile and Auto Components,,7.64%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,7.03%,Baroda BNP Paribas Multi Asset Fund,Multi Asset Allocation
Mutual Funds,,33.24%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,28.90%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,7.80%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Healthcare,,7.44%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,4.90%,DSP Multi Asset Allocation Fund,Multi Asset Allocation
Miscellaneous,,63.39%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,25.62%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,16.48%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Current Assets,,4.26%,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Fast Moving Consumer Goods,,-,Edelweiss Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,23.46%,HDFC Multi - Asset Fund,Multi Asset Allocation
Miscellaneous,,13.75%,HDFC Multi - Asset Fund,Multi Asset Allocation
Mutual Funds,,11.89%,HDFC Multi - Asset Fund,Multi Asset Allocation
Sovereign,,9.16%,HDFC Multi - Asset Fund,Multi Asset Allocation
Information Technology,,5.86%,HDFC Multi - Asset Fund,Multi Asset Allocation
Financial Services,,23.57%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Current Assets,,20.15%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,8.39%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Automobile and Auto Components,,5.51%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Power,,5.34%,ICICI Prudential Multi-Asset Fund,Multi Asset Allocation
Financial Services,,18.12%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,13.54%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Miscellaneous,,12.28%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Current Assets,,10.68%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,9.67%,Kotak Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,49.76%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Mutual Funds,,12.58%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Sovereign,,6.91%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Automobile and Auto Components,,6.21%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Information Technology,,6.12%,Motilal Oswal Multi Asset Fund(MOFMAF),Multi Asset Allocation
Mutual Funds,,29.67%,Nippon India Multi Asset Fund,Multi Asset Allocation
Financial Services,,21.03%,Nippon India Multi Asset Fund,Multi Asset Allocation
Sovereign,,7.50%,Nippon India Multi Asset Fund,Multi Asset Allocation
Automobile and Auto Components,,5.80%,Nippon India Multi Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,4.90%,Nippon India Multi Asset Fund,Multi Asset Allocation
Financial Services,,31.41%,Quant Multi Asset Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,14.02%,Quant Multi Asset Fund,Multi Asset Allocation
Mutual Funds,,13.17%,Quant Multi Asset Fund,Multi Asset Allocation
Metals & Mining,,7.94%,Quant Multi Asset Fund,Multi Asset Allocation
Healthcare,,6.98%,Quant Multi Asset Fund,Multi Asset Allocation
Financial Services,,31.44%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,12.16%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,12.11%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Realty,,6.15%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,5.39%,SBI Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,19.71%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
"Oil, Gas & Consumable Fuels",,10.55%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,10.31%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,9.07%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Information Technology,,8.86%,Shriram Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,22.70%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Miscellaneous,,18.51%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Commodity,,6.81%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Capital Goods,,6.39%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Information Technology,,4.95%,Tata Multi Asset Opportunities Fund,Multi Asset Allocation
Mutual Funds,,18.16%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,13.16%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Automobile and Auto Components,,10.90%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,9.56%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Miscellaneous,,9.24%,UTI Multi Asset Allocation Fund,Multi Asset Allocation
Mutual Funds,,26.92%,WhiteOak Capital Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,20.90%,WhiteOak Capital Multi Asset Allocation Fund,Multi Asset Allocation
Sovereign,,12.77%,WhiteOak Capital Multi Asset Allocation Fund,Multi Asset Allocation
Miscellaneous,,8.31%,WhiteOak Capital Multi Asset Allocation Fund,Multi Asset Allocation
Current Assets,,7.74%,WhiteOak Capital Multi Asset Allocation Fund,Multi Asset Allocation
Financial Services,,27.96%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Capital Goods,,11.66%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Automobile and Auto Components,,8.43%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Healthcare,,7.75%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Information Technology,,7.31%,Aditya Birla Sun Life Multi-Cap Fund,Multi Cap Fund
Financial Services,,21.04%,Axis Multicap Fund,Multi Cap Fund
Information Technology,,15.57%,Axis Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,15.34%,Axis Multicap Fund,Multi Cap Fund
Healthcare,,9.86%,Axis Multicap Fund,Multi Cap Fund
Realty,,7.77%,Axis Multicap Fund,Multi Cap Fund
Financial Services,,26.44%,Bandhan Multi Cap Fund,Multi Cap Fund
Information Technology,,7.94%,Bandhan Multi Cap Fund,Multi Cap Fund
Healthcare,,7.26%,Bandhan Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,7.17%,Bandhan Multi Cap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,6.68%,Bandhan Multi Cap Fund,Multi Cap Fund
Financial Services,,23.31%,Bank of India Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,11.13%,Bank of India Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.69%,Bank of India Multi Cap Fund,Multi Cap Fund
Information Technology,,6.94%,Bank of India Multi Cap Fund,Multi Cap Fund
Healthcare,,6.72%,Bank of India Multi Cap Fund,Multi Cap Fund
Financial Services,,25.18%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.56%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Information Technology,,10.14%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Healthcare,,8.27%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,7.70%,Baroda BNP Paribas Multi Cap Fund,Multi Cap Fund
Financial Services,,27.59%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Capital Goods,,13.17%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,10.29%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Healthcare,,10.02%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,7.29%,Canara Robeco Multi Cap Fund,Multi Cap Fund
Financial Services,,26.10%,Edelweiss Multi Cap Fund,Multi Cap Fund
Information Technology,,10.89%,Edelweiss Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.73%,Edelweiss Multi Cap Fund,Multi Cap Fund
Healthcare,,7.47%,Edelweiss Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,6.87%,Edelweiss Multi Cap Fund,Multi Cap Fund
Financial Services,,25.82%,HDFC Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.19%,HDFC Multi Cap Fund,Multi Cap Fund
Information Technology,,9.13%,HDFC Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,6.19%,HDFC Multi Cap Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,6.18%,HDFC Multi Cap Fund,Multi Cap Fund
Financial Services,,21.73%,HSBC Multi Cap Fund,Multi Cap Fund
Capital Goods,,16.70%,HSBC Multi Cap Fund,Multi Cap Fund
Information Technology,,11.89%,HSBC Multi Cap Fund,Multi Cap Fund
Healthcare,,7.01%,HSBC Multi Cap Fund,Multi Cap Fund
Construction,,5.68%,HSBC Multi Cap Fund,Multi Cap Fund
Financial Services,,20.06%,ICICI Prudential Multicap Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,11.46%,ICICI Prudential Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,9.21%,ICICI Prudential Multicap Fund,Multi Cap Fund
Healthcare,,7.82%,ICICI Prudential Multicap Fund,Multi Cap Fund
Information Technology,,7.57%,ICICI Prudential Multicap Fund,Multi Cap Fund
Financial Services,,31.08%,Invesco India Multicap Fund,Multi Cap Fund
Capital Goods,,13.10%,Invesco India Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,11.89%,Invesco India Multicap Fund,Multi Cap Fund
Information Technology,,9.24%,Invesco India Multicap Fund,Multi Cap Fund
Healthcare,,5.18%,Invesco India Multicap Fund,Multi Cap Fund
Financial Services,,25.89%,ITI Multi Cap Fund,Multi Cap Fund
Capital Goods,,14.59%,ITI Multi Cap Fund,Multi Cap Fund
Information Technology,,6.16%,ITI Multi Cap Fund,Multi Cap Fund
Consumer Services,,6.01%,ITI Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,5.64%,ITI Multi Cap Fund,Multi Cap Fund
Financial Services,,24.96%,Kotak Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,11.87%,Kotak Multicap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,7.89%,Kotak Multicap Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,6.61%,Kotak Multicap Fund,Multi Cap Fund
"Media, Entertainment & Publication",,6.09%,Kotak Multicap Fund,Multi Cap Fund
Financial Services,,23.98%,LIC MF Multi Cap Fund,Multi Cap Fund
Capital Goods,,14.64%,LIC MF Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,11.53%,LIC MF Multi Cap Fund,Multi Cap Fund
Consumer Durables,,6.32%,LIC MF Multi Cap Fund,Multi Cap Fund
Chemicals,,6.19%,LIC MF Multi Cap Fund,Multi Cap Fund
Financial Services,,19.83%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Capital Goods,,12.20%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Information Technology,,10.15%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Consumer Durables,,7.97%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Power,,7.43%,Mahindra Manulife Multi Cap Fund,Multi Cap Fund
Financial Services,,27.77%,Mirae Asset Multicap Fund,Multi Cap Fund
Healthcare,,9.41%,Mirae Asset Multicap Fund,Multi Cap Fund
Consumer Durables,,8.01%,Mirae Asset Multicap Fund,Multi Cap Fund
Information Technology,,6.74%,Mirae Asset Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,6.69%,Mirae Asset Multicap Fund,Multi Cap Fund
Financial Services,,30.43%,Nippon India Multi Cap Fund,Multi Cap Fund
Consumer Services,,12.45%,Nippon India Multi Cap Fund,Multi Cap Fund
Capital Goods,,10.65%,Nippon India Multi Cap Fund,Multi Cap Fund
Healthcare,,7.83%,Nippon India Multi Cap Fund,Multi Cap Fund
Automobile and Auto Components,,6.27%,Nippon India Multi Cap Fund,Multi Cap Fund
Financial Services,,17.90%,Quant Active Fund,Multi Cap Fund
Metals & Mining,,14.67%,Quant Active Fund,Multi Cap Fund
"Oil, Gas & Consumable Fuels",,14.63%,Quant Active Fund,Multi Cap Fund
Healthcare,,11.10%,Quant Active Fund,Multi Cap Fund
Fast Moving Consumer Goods,,8.78%,Quant Active Fund,Multi Cap Fund
Financial Services,,21.21%,SBI Multicap Fund,Multi Cap Fund
Consumer Durables,,8.53%,SBI Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,8.08%,SBI Multicap Fund,Multi Cap Fund
Healthcare,,7.76%,SBI Multicap Fund,Multi Cap Fund
Consumer Services,,6.82%,SBI Multicap Fund,Multi Cap Fund
Financial Services,,29.17%,Sundaram Multi cap Fund,Multi Cap Fund
Capital Goods,,10.35%,Sundaram Multi cap Fund,Multi Cap Fund
Automobile and Auto Components,,9.59%,Sundaram Multi cap Fund,Multi Cap Fund
Healthcare,,8.54%,Sundaram Multi cap Fund,Multi Cap Fund
Information Technology,,6.73%,Sundaram Multi cap Fund,Multi Cap Fund
Financial Services,,30.14%,Tata Multicap Fund,Multi Cap Fund
Information Technology,,7.32%,Tata Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,7.06%,Tata Multicap Fund,Multi Cap Fund
Capital Goods,,6.39%,Tata Multicap Fund,Multi Cap Fund
Current Assets,,4.84%,Tata Multicap Fund,Multi Cap Fund
Financial Services,,26.96%,Union Multicap Fund,Multi Cap Fund
Automobile and Auto Components,,10.81%,Union Multicap Fund,Multi Cap Fund
Information Technology,,9.37%,Union Multicap Fund,Multi Cap Fund
Capital Goods,,8.98%,Union Multicap Fund,Multi Cap Fund
Current Assets,,5.48%,Union Multicap Fund,Multi Cap Fund
Financial Services,,28.54%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Capital Goods,,11.13%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Information Technology,,9.45%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Healthcare,,9.10%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Fast Moving Consumer Goods,,6.63%,WhiteOak Capital Multi Cap Fund,Multi Cap Fund
Financial Services,,33.44%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Healthcare,,9.94%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Automobile and Auto Components,,9.08%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Fast Moving Consumer Goods,,7.69%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Information Technology,,6.29%,Aditya Birla Sun Life Retirement Fund - The 30s Plan,Retirement Fund
Financial Services,,26.85%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Sovereign,,12.70%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Healthcare,,9.53%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Current Assets,,9.14%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Automobile and Auto Components,,7.27%,Aditya Birla Sun Life Retirement Fund - The 40s Plan,Retirement Fund
Sovereign,,54.76%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Financial Services,,15.79%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Current Assets,,14.03%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Healthcare,,3.24%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Automobile and Auto Components,,2.01%,Aditya Birla Sun Life Retirement Fund - The 50s Plan,Retirement Fund
Sovereign,,72.73%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Financial Services,,13.69%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Telecommunication,,11.75%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Current Assets,,1.82%,Aditya Birla Sun Life Retirement Fund - The 50s Plus-Debt Plan,Retirement Fund
Financial Services,,22.27%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Sovereign,,12.24%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Information Technology,,10.81%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Chemicals,,7.37%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Capital Goods,,6.14%,Axis Retirement Savings Fund - Aggressive Plan,Retirement Fund
Sovereign,,28.03%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Financial Services,,26.94%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Information Technology,,9.61%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Automobile and Auto Components,,7.73%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Current Assets,,7.21%,Axis Retirement Savings Fund - Conservative Plan,Retirement Fund
Financial Services,,27.13%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
Automobile and Auto Components,,8.98%,Axis Retirement Savings Fund - Dynamic Plan,Retirement Fund
