Sector Name,Dummy,Percentage Allocation,Fund Type,Scheme Name
Financial Services,,23.72%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Consumer Services,,16.58%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Fast Moving Consumer Goods,,11.76%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Capital Goods,,9.03%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Chemicals,,6.98%,Nippon India ETF S&P BSE Sensex Next 50,ETFs - Others
Financial Services,,39.12%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Information Technology,,15.04%,Nippon India ETF S&P BSE Sensex,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Fast Moving Consumer Goods,,8.98%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Automobile and Auto Components,,5.36%,Nippon India ETF S&P BSE Sensex,ETFs - Others
Automobile and Auto Components,,93.31%,Nippon India Nifty Auto ETF,ETFs - Others
Capital Goods,,6.61%,Nippon India Nifty Auto ETF,ETFs - Others
Current Assets,,0.08%,Nippon India Nifty Auto ETF,ETFs - Others
Miscellaneous,,-,Nippon India Nifty Auto ETF,ETFs - Others
Healthcare,,99.98%,Nippon India Nifty Pharma ETF,ETFs - Others
Current Assets,,0.02%,Nippon India Nifty Pharma ETF,ETFs - Others
Financial Services,,35.27%,Quantum Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,Quantum Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,Quantum Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.17%,Quantum Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,Quantum Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,29.18%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Information Technology,,26.07%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Consumer Durables,,8.95%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Automobile and Auto Components,,6.82%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.63%,SBI NIFTY 200 Quality 30 ETF,ETFs - Others
Financial Services,,35.26%,SBI Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,SBI Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,SBI Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,SBI Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,SBI Nifty 50 ETF,ETFs - Others
Financial Services,,100.00%,SBI Nifty Bank ETF,ETFs - Others
Current Assets,,-,SBI Nifty Bank ETF,ETFs - Others
Fast Moving Consumer Goods,,37.77%,SBI Nifty Consumption ETF,ETFs - Others
Automobile and Auto Components,,19.30%,SBI Nifty Consumption ETF,ETFs - Others
Consumer Durables,,13.76%,SBI Nifty Consumption ETF,ETFs - Others
Telecommunication,,10.09%,SBI Nifty Consumption ETF,ETFs - Others
Consumer Services,,8.34%,SBI Nifty Consumption ETF,ETFs - Others
Information Technology,,100.00%,SBI Nifty IT ETF,ETFs - Others
Current Assets,,-,SBI Nifty IT ETF,ETFs - Others
Financial Services,,20.33%,SBI Nifty Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,12.68%,SBI Nifty Next 50 ETF,ETFs - Others
Consumer Services,,11.63%,SBI Nifty Next 50 ETF,ETFs - Others
Capital Goods,,11.14%,SBI Nifty Next 50 ETF,ETFs - Others
Chemicals,,6.58%,SBI Nifty Next 50 ETF,ETFs - Others
Financial Services,,100.00%,SBI Nifty Private Bank ETF,ETFs - Others
Current Assets,,-,SBI Nifty Private Bank ETF,ETFs - Others
Financial Services,,32.98%,SBI S&P BSE 100 ETF,ETFs - Others
Information Technology,,11.53%,SBI S&P BSE 100 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.30%,SBI S&P BSE 100 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.49%,SBI S&P BSE 100 ETF,ETFs - Others
Automobile and Auto Components,,6.38%,SBI S&P BSE 100 ETF,ETFs - Others
Financial Services,,39.13%,SBI S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,SBI S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,SBI S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,9.00%,SBI S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,SBI S&P BSE Sensex ETF,ETFs - Others
Financial Services,,23.75%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Consumer Services,,16.61%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,11.78%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Capital Goods,,9.04%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Chemicals,,6.99%,SBI S&P BSE Sensex Next 50 ETF,ETFs - Others
Financial Services,,35.03%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Information Technology,,13.61%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.36%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Fast Moving Consumer Goods,,9.13%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Automobile and Auto Components,,6.46%,TATA NIFTY 50 EXCHANGE TRADED FUND,ETFs - Others
Information Technology,,49.94%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Consumer Services,,28.44%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Telecommunication,,14.32%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Financial Services,,7.21%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Current Assets,,0.09%,Tata Nifty India Digital Exchange Traded Fund,ETFs - Others
Financial Services,,99.83%,Tata Nifty Private Bank Exchange Traded Fund,ETFs - Others
Current Assets,,0.17%,Tata Nifty Private Bank Exchange Traded Fund,ETFs - Others
Financial Services,,35.26%,UTI Nifty 50 ETF,ETFs - Others
Information Technology,,13.62%,UTI Nifty 50 ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,UTI Nifty 50 ETF,ETFs - Others
Fast Moving Consumer Goods,,9.16%,UTI Nifty 50 ETF,ETFs - Others
Automobile and Auto Components,,6.48%,UTI Nifty 50 ETF,ETFs - Others
Financial Services,,100.00%,UTI Nifty Bank ETF,ETFs - Others
Current Assets,,-,UTI Nifty Bank ETF,ETFs - Others
Financial Services,,22.13%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Capital Goods,,13.28%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Healthcare,,10.89%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Automobile and Auto Components,,7.30%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Information Technology,,6.85%,UTI Nifty Midcap 150 Exchange Traded Fund,ETFs - Others
Financial Services,,20.33%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Fast Moving Consumer Goods,,12.68%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Consumer Services,,11.63%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Capital Goods,,11.14%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Chemicals,,6.57%,UTI Nifty Next 50 Exchange Traded Fund,ETFs - Others
Financial Services,,39.13%,UTI S&P BSE Sensex ETF,ETFs - Others
Information Technology,,15.04%,UTI S&P BSE Sensex ETF,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,UTI S&P BSE Sensex ETF,ETFs - Others
Fast Moving Consumer Goods,,9.00%,UTI S&P BSE Sensex ETF,ETFs - Others
Automobile and Auto Components,,5.36%,UTI S&P BSE Sensex ETF,ETFs - Others
Financial Services,,23.74%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Consumer Services,,16.60%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Fast Moving Consumer Goods,,11.77%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Capital Goods,,9.04%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Chemicals,,6.99%,UTI S&P BSE Sensex Next 50 Exchange Traded Fund,ETFs - Others
Financial Services,,30.69%,360 ONE Flexicap Fund,Flexi Cap Fund
Information Technology,,13.24%,360 ONE Flexicap Fund,Flexi Cap Fund
Capital Goods,,12.12%,360 ONE Flexicap Fund,Flexi Cap Fund
Automobile and Auto Components,,8.57%,360 ONE Flexicap Fund,Flexi Cap Fund
Telecommunication,,5.47%,360 ONE Flexicap Fund,Flexi Cap Fund
Financial Services,,30.53%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Information Technology,,12.48%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Healthcare,,12.01%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Fast Moving Consumer Goods,,6.73%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Capital Goods,,4.81%,Aditya Birla Sun Life Flexi Cap Fund,Flexi Cap Fund
Financial Services,,28.75%,Axis Flexi Cap Fund,Flexi Cap Fund
Consumer Services,,11.18%,Axis Flexi Cap Fund,Flexi Cap Fund
Automobile and Auto Components,,10.50%,Axis Flexi Cap Fund,Flexi Cap Fund
Information Technology,,9.12%,Axis Flexi Cap Fund,Flexi Cap Fund
Healthcare,,8.40%,Axis Flexi Cap Fund,Flexi Cap Fund
Financial Services,,34.07%,360 ONE Focused Equity Fund,Focused Fund
Information Technology,,13.25%,360 ONE Focused Equity Fund,Focused Fund
Automobile and Auto Components,,12.57%,360 ONE Focused Equity Fund,Focused Fund
Telecommunication,,7.04%,360 ONE Focused Equity Fund,Focused Fund
Capital Goods,,6.71%,360 ONE Focused Equity Fund,Focused Fund
Financial Services,,35.52%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Information Technology,,12.43%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Automobile and Auto Components,,9.70%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Fast Moving Consumer Goods,,7.38%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Construction,,6.39%,Aditya Birla Sun Life Focused Equity Fund,Focused Fund
Financial Services,,27.19%,Axis Focused 25 Fund,Focused Fund
Consumer Services,,14.06%,Axis Focused 25 Fund,Focused Fund
Information Technology,,11.83%,Axis Focused 25 Fund,Focused Fund
Chemicals,,10.15%,Axis Focused 25 Fund,Focused Fund
Healthcare,,9.52%,Axis Focused 25 Fund,Focused Fund
Financial Services,,33.27%,Bandhan Focused Equity Fund,Focused Fund
Information Technology,,11.54%,Bandhan Focused Equity Fund,Focused Fund
Capital Goods,,10.48%,Bandhan Focused Equity Fund,Focused Fund
Automobile and Auto Components,,9.31%,Bandhan Focused Equity Fund,Focused Fund
Fast Moving Consumer Goods,,5.95%,Bandhan Focused Equity Fund,Focused Fund
Financial Services,,31.17%,Baroda BNP Paribas Focused Fund,Focused Fund
Automobile and Auto Components,,13.78%,Baroda BNP Paribas Focused Fund,Focused Fund
Capital Goods,,9.16%,Baroda BNP Paribas Focused Fund,Focused Fund
Information Technology,,7.35%,Baroda BNP Paribas Focused Fund,Focused Fund
Construction,,6.86%,Baroda BNP Paribas Focused Fund,Focused Fund
Financial Services,,31.04%,Canara Robeco Focused Equity Fund,Focused Fund
Healthcare,,9.16%,Canara Robeco Focused Equity Fund,Focused Fund
Information Technology,,8.84%,Canara Robeco Focused Equity Fund,Focused Fund
Automobile and Auto Components,,7.05%,Canara Robeco Focused Equity Fund,Focused Fund
Consumer Services,,6.70%,Canara Robeco Focused Equity Fund,Focused Fund
Financial Services,,31.89%,DSP Focus Fund,Focused Fund
Capital Goods,,15.60%,DSP Focus Fund,Focused Fund
Information Technology,,9.39%,DSP Focus Fund,Focused Fund
Healthcare,,8.76%,DSP Focus Fund,Focused Fund
Automobile and Auto Components,,8.27%,DSP Focus Fund,Focused Fund
Financial Services,,29.31%,Edelweiss Focused Fund,Focused Fund
Information Technology,,13.23%,Edelweiss Focused Fund,Focused Fund
Capital Goods,,10.80%,Edelweiss Focused Fund,Focused Fund
Automobile and Auto Components,,8.53%,Edelweiss Focused Fund,Focused Fund
Construction,,6.67%,Edelweiss Focused Fund,Focused Fund
Financial Services,,32.64%,Franklin India Focused Equity Fund,Focused Fund
Healthcare,,8.77%,Franklin India Focused Equity Fund,Focused Fund
Capital Goods,,7.58%,Franklin India Focused Equity Fund,Focused Fund
Information Technology,,7.51%,Franklin India Focused Equity Fund,Focused Fund
Construction,,6.02%,Franklin India Focused Equity Fund,Focused Fund
Financial Services,,35.73%,HDFC Focused 30 Fund,Focused Fund
Healthcare,,12.94%,HDFC Focused 30 Fund,Focused Fund
Current Assets,,12.07%,HDFC Focused 30 Fund,Focused Fund
Realty,,7.63%,HDFC Focused 30 Fund,Focused Fund
Power,,7.15%,HDFC Focused 30 Fund,Focused Fund
Financial Services,,31.00%,HSBC Focused Fund,Focused Fund
Information Technology,,12.45%,HSBC Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,9.11%,HSBC Focused Fund,Focused Fund
Construction,,8.29%,HSBC Focused Fund,Focused Fund
Capital Goods,,8.02%,HSBC Focused Fund,Focused Fund
Financial Services,,20.11%,ICICI Prudential Focused Equity Fund,Focused Fund
Healthcare,,15.27%,ICICI Prudential Focused Equity Fund,Focused Fund
Capital Goods,,10.69%,ICICI Prudential Focused Equity Fund,Focused Fund
Consumer Services,,6.42%,ICICI Prudential Focused Equity Fund,Focused Fund
Automobile and Auto Components,,6.41%,ICICI Prudential Focused Equity Fund,Focused Fund
Financial Services,,29.25%,Focused Fund
Information Technology,,12.71%,Focused Fund
Consumer Services,,10.05%,Focused Fund
Healthcare,,10.03%,Focused Fund
Construction,,9.08%,Focused Fund
Financial Services,,29.25%,Invesco India Focused Fund,Focused Fund
Information Technology,,12.71%,Invesco India Focused Fund,Focused Fund
Consumer Services,,10.05%,Invesco India Focused Fund,Focused Fund
Healthcare,,10.03%,Invesco India Focused Fund,Focused Fund
Construction,,9.08%,Invesco India Focused Fund,Focused Fund
Financial Services,,22.23%,ITI Focused Equity Fund,Focused Fund
Capital Goods,,20.11%,ITI Focused Equity Fund,Focused Fund
Automobile and Auto Components,,10.86%,ITI Focused Equity Fund,Focused Fund
Construction,,6.99%,ITI Focused Equity Fund,Focused Fund
Information Technology,,6.05%,ITI Focused Equity Fund,Focused Fund
Financial Services,,18.77%,JM Focused Fund,Focused Fund
Automobile and Auto Components,,16.04%,JM Focused Fund,Focused Fund
Capital Goods,,10.59%,JM Focused Fund,Focused Fund
Consumer Services,,8.84%,JM Focused Fund,Focused Fund
Information Technology,,5.91%,JM Focused Fund,Focused Fund
Financial Services,,25.85%,Kotak Focused Equity Fund,Focused Fund
Automobile and Auto Components,,10.41%,Kotak Focused Equity Fund,Focused Fund
Capital Goods,,10.29%,Kotak Focused Equity Fund,Focused Fund
Information Technology,,9.05%,Kotak Focused Equity Fund,Focused Fund
Healthcare,,7.70%,Kotak Focused Equity Fund,Focused Fund
Financial Services,,34.55%,LIC MF Focused 30 Equity Fund,Focused Fund
Fast Moving Consumer Goods,,17.54%,LIC MF Focused 30 Equity Fund,Focused Fund
Information Technology,,10.63%,LIC MF Focused 30 Equity Fund,Focused Fund
Automobile and Auto Components,,8.93%,LIC MF Focused 30 Equity Fund,Focused Fund
Consumer Durables,,6.99%,LIC MF Focused 30 Equity Fund,Focused Fund
Financial Services,,24.00%,Mahindra Manulife Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,13.68%,Mahindra Manulife Focused Fund,Focused Fund
Information Technology,,10.79%,Mahindra Manulife Focused Fund,Focused Fund
Fast Moving Consumer Goods,,7.88%,Mahindra Manulife Focused Fund,Focused Fund
Automobile and Auto Components,,5.73%,Mahindra Manulife Focused Fund,Focused Fund
Financial Services,,37.44%,Mirae Asset Focused Fund,Focused Fund
Information Technology,,10.62%,Mirae Asset Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,8.38%,Mirae Asset Focused Fund,Focused Fund
Consumer Services,,8.00%,Mirae Asset Focused Fund,Focused Fund
Automobile and Auto Components,,5.78%,Mirae Asset Focused Fund,Focused Fund
Financial Services,,39.72%,Motilal Oswal Focused Fund,Focused Fund
Consumer Services,,12.30%,Motilal Oswal Focused Fund,Focused Fund
Information Technology,,9.87%,Motilal Oswal Focused Fund,Focused Fund
Capital Goods,,8.50%,Motilal Oswal Focused Fund,Focused Fund
Automobile and Auto Components,,8.10%,Motilal Oswal Focused Fund,Focused Fund
Financial Services,,35.79%,Nippon India Focused Equity Fund,Focused Fund
Information Technology,,11.36%,Nippon India Focused Equity Fund,Focused Fund
Consumer Services,,10.49%,Nippon India Focused Equity Fund,Focused Fund
Capital Goods,,7.61%,Nippon India Focused Equity Fund,Focused Fund
Automobile and Auto Components,,6.74%,Nippon India Focused Equity Fund,Focused Fund
Financial Services,,20.24%,Quant Focused Fund,Focused Fund
"Oil, Gas & Consumable Fuels",,18.96%,Quant Focused Fund,Focused Fund
Fast Moving Consumer Goods,,18.31%,Quant Focused Fund,Focused Fund
Power,,13.14%,Quant Focused Fund,Focused Fund
Healthcare,,12.63%,Quant Focused Fund,Focused Fund
Financial Services,,42.34%,SBI Focused Equity Fund,Focused Fund
Telecommunication,,9.77%,SBI Focused Equity Fund,Focused Fund
Fast Moving Consumer Goods,,9.21%,SBI Focused Equity Fund,Focused Fund
Services,,9.14%,SBI Focused Equity Fund,Focused Fund
Healthcare,,5.33%,SBI Focused Equity Fund,Focused Fund
Financial Services,,31.26%,Sundaram Focused Fund,Focused Fund
Information Technology,,12.63%,Sundaram Focused Fund,Focused Fund
Consumer Services,,12.61%,Sundaram Focused Fund,Focused Fund
Capital Goods,,10.77%,Sundaram Focused Fund,Focused Fund
Healthcare,,7.33%,Sundaram Focused Fund,Focused Fund
Financial Services,,31.46%,Tata Focused Equity Fund,Focused Fund
Information Technology,,14.45%,Tata Focused Equity Fund,Focused Fund
Healthcare,,10.13%,Tata Focused Equity Fund,Focused Fund
Capital Goods,,7.41%,Tata Focused Equity Fund,Focused Fund
Power,,6.38%,Tata Focused Equity Fund,Focused Fund
Financial Services,,27.09%,Union Focused Fund,Focused Fund
Automobile and Auto Components,,10.73%,Union Focused Fund,Focused Fund
Information Technology,,8.98%,Union Focused Fund,Focused Fund
Capital Goods,,8.87%,Union Focused Fund,Focused Fund
Construction,,6.49%,Union Focused Fund,Focused Fund
Financial Services,,31.14%,UTI Focused Fund,Focused Fund
Automobile and Auto Components,,10.44%,UTI Focused Fund,Focused Fund
Information Technology,,10.42%,UTI Focused Fund,Focused Fund
Consumer Services,,9.94%,UTI Focused Fund,Focused Fund
Fast Moving Consumer Goods,,7.22%,UTI Focused Fund,Focused Fund
Mutual Funds,,98.86%,Aditya Birla Sun Life Asset Allocator FoF,FoF - Domestic
Current Assets,,1.14%,Aditya Birla Sun Life Asset Allocator FoF,FoF - Domestic
Mutual Funds,,99.17%,Aditya Birla Sun Life Financial Planning FoF - Moderate Plan,FoF - Domestic
Current Assets,,0.83%,Aditya Birla Sun Life Financial Planning FoF - Moderate Plan,FoF - Domestic
Mutual Funds,,99.34%,Aditya Birla Sun Life Financial Planning FoF Aggressive,FoF - Domestic
Current Assets,,0.66%,Aditya Birla Sun Life Financial Planning FoF Aggressive,FoF - Domestic
Mutual Funds,,99.26%,Aditya Birla Sun Life Financial Planning FoF Conservative,FoF - Domestic
Current Assets,,0.74%,Aditya Birla Sun Life Financial Planning FoF Conservative,FoF - Domestic
Mutual Funds,,97.55%,Aditya Birla Sun Life Multi - Index Fund of Funds,FoF - Domestic
Current Assets,,2.45%,Aditya Birla Sun Life Multi - Index Fund of Funds,FoF - Domestic
Mutual Funds,,97.97%,Axis All Seasons Debt Fund of Funds,FoF - Domestic
Current Assets,,2.03%,Axis All Seasons Debt Fund of Funds,FoF - Domestic
Mutual Funds,,97.57%,HDFC Asset Allocator Fund Of Funds,FoF - Domestic
Current Assets,,2.43%,HDFC Asset Allocator Fund Of Funds,FoF - Domestic
Financial Services,,34.81%,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Index Funds
Information Technology,,13.53%,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Index Funds
"Oil, Gas & Consumable Fuels",,11.29%,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Index Funds
Fast Moving Consumer Goods,,9.07%,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Index Funds
Automobile and Auto Components,,6.42%,360 ONE ELSS Tax Saver Nifty 50 Index Fund,Index Funds
Financial Services,,87.90%,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,Index Funds
"Oil, Gas & Consumable Fuels",,9.73%,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,Index Funds
Current Assets,,2.36%,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,Index Funds
Sovereign,,94.16%,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund,Index Funds
Current Assets,,5.84%,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund,Index Funds
Financial Services,,19.94%,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Index Funds
Automobile and Auto Components,,12.23%,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Index Funds
Information Technology,,11.80%,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Index Funds
Fast Moving Consumer Goods,,10.18%,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Index Funds
Healthcare,,9.95%,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Index Funds
Financial Services,,35.26%,Aditya Birla Sun Life Nifty 50 Index Fund,Index Funds
Information Technology,,13.62%,Aditya Birla Sun Life Nifty 50 Index Fund,Index Funds
"Oil, Gas & Consumable Fuels",,11.40%,Aditya Birla Sun Life Nifty 50 Index Fund,Index Funds
Fast Moving Consumer Goods,,9.16%,Aditya Birla Sun Life Nifty 50 Index Fund,Index Funds
Automobile and Auto Components,,6.48%,Aditya Birla Sun Life Nifty 50 Index Fund,Index Funds
Financial Services,,22.13%,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,Index Funds
Capital Goods,,13.31%,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,Index Funds
Healthcare,,10.87%,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,Index Funds
Automobile and Auto Components,,7.24%,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,Index Funds
Information Technology,,6.86%,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,Index Funds
Financial Services,,20.35%,Aditya Birla Sun Life Nifty Next 50 Index Fund,Index Funds
Fast Moving Consumer Goods,,12.69%,Aditya Birla Sun Life Nifty Next 50 Index Fund,Index Funds
Consumer Services,,11.64%,Aditya Birla Sun Life Nifty Next 50 Index Fund,Index Funds
Capital Goods,,11.15%,Aditya Birla Sun Life Nifty Next 50 Index Fund,Index Funds
Chemicals,,6.58%,Aditya Birla Sun Life Nifty Next 50 Index Fund,Index Funds
Sovereign,,98.33%,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund,Index Funds
Current Assets,,1.67%,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund,Index Funds
Financial Services,,27.08%,Aditya Birla Sun Life Equity Advantage Fund,Large & Mid Cap Fund
Automobile and Auto Components,,11.59%,Aditya Birla Sun Life Equity Advantage Fund,Large & Mid Cap Fund
Capital Goods,,11.56%,Aditya Birla Sun Life Equity Advantage Fund,Large & Mid Cap Fund
Consumer Services,,8.67%,Aditya Birla Sun Life Equity Advantage Fund,Large & Mid Cap Fund
Information Technology,,8.61%,Aditya Birla Sun Life Equity Advantage Fund,Large & Mid Cap Fund
Financial Services,,20.58%,Axis Growth Opportunities Fund,Large & Mid Cap Fund
Information Technology,,14.60%,Axis Growth Opportunities Fund,Large & Mid Cap Fund
Capital Goods,,10.28%,Axis Growth Opportunities Fund,Large & Mid Cap Fund
Automobile and Auto Components,,9.64%,Axis Growth Opportunities Fund,Large & Mid Cap Fund
Healthcare,,8.57%,Axis Growth Opportunities Fund,Large & Mid Cap Fund
Financial Services,,25.52%,Bandhan Core Equity Fund,Large & Mid Cap Fund
Information Technology,,8.23%,Bandhan Core Equity Fund,Large & Mid Cap Fund
"Oil, Gas & Consumable Fuels",,8.09%,Bandhan Core Equity Fund,Large & Mid Cap Fund
Automobile and Auto Components,,7.90%,Bandhan Core Equity Fund,Large & Mid Cap Fund
Healthcare,,6.19%,Bandhan Core Equity Fund,Large & Mid Cap Fund
Financial Services,,29.76%,Bank of India Large & Mid Cap Equity Fund,Large & Mid Cap Fund
Automobile and Auto Components,,11.48%,Bank of India Large & Mid Cap Equity Fund,Large & Mid Cap Fund
Construction,,6.79%,Bank of India Large & Mid Cap Equity Fund,Large & Mid Cap Fund
Healthcare,,6.70%,Bank of India Large & Mid Cap Equity Fund,Large & Mid Cap Fund
Capital Goods,,5.98%,Bank of India Large & Mid Cap Equity Fund,Large & Mid Cap Fund
Financial Services,,32.05%,Baroda BNP Paribas Large & Mid Cap Fund,Large & Mid Cap Fund
Information Technology,,8.59%,Baroda BNP Paribas Large & Mid Cap Fund,Large & Mid Cap Fund
Automobile and Auto Components,,7.61%,Baroda BNP Paribas Large & Mid Cap Fund,Large & Mid Cap Fund
Healthcare,,7.25%,Baroda BNP Paribas Large & Mid Cap Fund,Large & Mid Cap Fund
Power,,6.23%,Baroda BNP Paribas Large & Mid Cap Fund,Large & Mid Cap Fund
Financial Services,,27.71%,Canara Robeco Emerging Equities,Large & Mid Cap Fund
Capital Goods,,16.00%,Canara Robeco Emerging Equities,Large & Mid Cap Fund
Automobile and Auto Components,,12.01%,Canara Robeco Emerging Equities,Large & Mid Cap Fund
Healthcare,,6.82%,Canara Robeco Emerging Equities,Large & Mid Cap Fund
Consumer Services,,6.31%,Canara Robeco Emerging Equities,Large & Mid Cap Fund
Financial Services,,33.99%,DSP Equity Opportunities Fund,Large & Mid Cap Fund
Automobile and Auto Components,,9.49%,DSP Equity Opportunities Fund,Large & Mid Cap Fund
Healthcare,,8.85%,DSP Equity Opportunities Fund,Large & Mid Cap Fund
"Oil, Gas & Consumable Fuels",,7.19%,DSP Equity Opportunities Fund,Large & Mid Cap Fund
Information Technology,,6.25%,DSP Equity Opportunities Fund,Large & Mid Cap Fund
Financial Services,,26.28%,Edelweiss Large & Mid Cap Fund,Large & Mid Cap Fund
Information Technology,,10.87%,Edelweiss Large & Mid Cap Fund,Large & Mid Cap Fund
Capital Goods,,10.80%,Edelweiss Large & Mid Cap Fund,Large & Mid Cap Fund
Consumer Durables,,7.88%,Edelweiss Large & Mid Cap Fund,Large & Mid Cap Fund
Automobile and Auto Components,,7.08%,Edelweiss Large & Mid Cap Fund,Large & Mid Cap Fund
Financial Services,,34.78%,Franklin India Equity Advantage Fund,Large & Mid Cap Fund
Automobile and Auto Components,,13.02%,Franklin India Equity Advantage Fund,Large & Mid Cap Fund
Information Technology,,9.05%,Franklin India Equity Advantage Fund,Large & Mid Cap Fund
Healthcare,,6.66%,Franklin India Equity Advantage Fund,Large & Mid Cap Fund
Fast Moving Consumer Goods,,5.71%,Franklin India Equity Advantage Fund,Large & Mid Cap Fund
Financial Services,,34.60%,Aditya Birla Sun Life Frontline Equity Fund,Large Cap Fund
Information Technology,,9.31%,Aditya Birla Sun Life Frontline Equity Fund,Large Cap Fund
